,1. open,2. high,3. low,4. close,5. volume
2022-05-31 15:59:00,68.229,68.364,68.119,68.275,180385
2022-05-31 15:58:00,68.19,68.267,68.148,68.231,98558
2022-05-31 15:57:00,68.175,68.228,68.109,68.188,118820
2022-05-31 15:56:00,68.37,68.403,68.148,68.178,98906
2022-05-31 15:55:00,68.608,68.627,68.338,68.373,145830
2022-05-31 15:54:00,68.535,68.617,68.498,68.597,70666
2022-05-31 15:53:00,68.647,68.666,68.508,68.528,22478
2022-05-31 15:52:00,68.667,68.72,68.586,68.645,19206
2022-05-31 15:51:00,68.55,68.705,68.528,68.665,25254
2022-05-31 15:50:00,68.336,68.686,68.313,68.548,50835
2022-05-31 15:49:00,68.311,68.413,68.275,68.343,20992
2022-05-31 15:48:00,68.394,68.423,68.298,68.318,28930
2022-05-31 15:47:00,68.501,68.53,68.362,68.392,19907
2022-05-31 15:46:00,68.482,68.54,68.45,68.499,16423
2022-05-31 15:45:00,68.453,68.51,68.43,68.475,23436
2022-05-31 15:44:00,68.521,68.54,68.43,68.451,79514
2022-05-31 15:43:00,68.535,68.582,68.459,68.519,14987
2022-05-31 15:42:00,68.618,68.647,68.508,68.548,13499
2022-05-31 15:41:00,68.618,68.681,68.586,68.626,21624
2022-05-31 15:40:00,68.555,68.637,68.528,68.616,20216
2022-05-31 15:39:00,68.56,68.603,68.523,68.548,20851
2022-05-31 15:38:00,68.579,68.608,68.528,68.567,22845
2022-05-31 15:37:00,68.54,68.598,68.498,68.563,23586
2022-05-31 15:36:00,68.482,68.588,68.44,68.538,35765
2022-05-31 15:35:00,68.599,68.627,68.45,68.47,136703
2022-05-31 15:34:00,68.638,68.666,68.576,68.597,20641
2022-05-31 15:33:00,68.647,68.686,68.605,68.636,20951
2022-05-31 15:32:00,68.599,68.681,68.576,68.65,8212
2022-05-31 15:31:00,68.638,68.666,68.557,68.597,10381
2022-05-31 15:30:00,68.521,68.656,68.498,68.636,19014
2022-05-31 15:29:00,68.54,68.559,68.487,68.528,11348
2022-05-31 15:28:00,68.477,68.559,68.455,68.538,6213
2022-05-31 15:27:00,68.453,68.51,68.401,68.475,11064
2022-05-31 15:26:00,68.526,68.559,68.43,68.46,10546
2022-05-31 15:25:00,68.511,68.549,68.484,68.519,9037
2022-05-31 15:24:00,68.56,68.578,68.459,68.509,8629
2022-05-31 15:23:00,68.482,68.588,68.459,68.558,7119
2022-05-31 15:22:00,68.419,68.501,68.396,68.48,6333
2022-05-31 15:21:00,68.414,68.442,68.372,68.421,6228
2022-05-31 15:20:00,68.389,68.462,68.362,68.421,7247
2022-05-31 15:19:00,68.487,68.51,68.352,68.382,11526
2022-05-31 15:18:00,68.54,68.608,68.45,68.485,11955
2022-05-31 15:17:00,68.54,68.588,68.503,68.567,9546
2022-05-31 15:16:00,68.453,68.559,68.421,68.538,12419
2022-05-31 15:15:00,68.346,68.471,68.323,68.441,8900
2022-05-31 15:14:00,68.277,68.354,68.255,68.334,10408
2022-05-31 15:13:00,68.229,68.306,68.174,68.266,7937
2022-05-31 15:12:00,68.258,68.291,68.177,68.227,5756
