,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,69.915,69.915,69.79,69.79,173096
2024-03-22 15:58:00,69.94,69.955,69.92,69.92,50477
2024-03-22 15:57:00,69.965,69.965,69.93,69.935,39953
2024-03-22 15:56:00,70.07,70.075,69.959,69.965,43438
2024-03-22 15:55:00,70.095,70.13,70.07,70.075,43403
2024-03-22 15:54:00,70.13,70.135,70.095,70.1,24525
2024-03-22 15:53:00,70.09,70.14,70.09,70.13,24165
2024-03-22 15:52:00,70.065,70.09,70.062,70.085,13007
2024-03-22 15:51:00,70.125,70.13,70.045,70.065,17074
2024-03-22 15:50:00,70.12,70.13,70.065,70.12,23197
2024-03-22 15:49:00,70.075,70.12,70.04,70.12,22827
2024-03-22 15:48:00,70.045,70.085,70.045,70.075,17883
2024-03-22 15:47:00,70.035,70.06,70.03,70.05,16387
2024-03-22 15:46:00,70.01,70.04,70.01,70.04,11900
2024-03-22 15:45:00,69.975,70.005,69.97,70.0,12904
2024-03-22 15:44:00,69.965,69.98,69.965,69.975,5282
2024-03-22 15:43:00,69.945,69.975,69.945,69.965,12273
2024-03-22 15:42:00,69.942,69.96,69.942,69.943,12048
2024-03-22 15:41:00,69.94,69.95,69.925,69.945,11788
2024-03-22 15:40:00,69.87,69.94,69.87,69.94,22701
2024-03-22 15:39:00,69.88,69.885,69.855,69.865,11850
2024-03-22 15:38:00,69.87,69.88,69.86,69.88,7537
2024-03-22 15:37:00,69.895,69.895,69.86,69.865,6093
2024-03-22 15:36:00,69.895,69.895,69.88,69.895,4350
2024-03-22 15:35:00,69.895,69.92,69.89,69.895,6140
2024-03-22 15:34:00,69.895,69.91,69.88,69.895,7843
2024-03-22 15:33:00,69.93,69.93,69.89,69.89,5159
2024-03-22 15:32:00,69.925,69.945,69.925,69.93,5143
2024-03-22 15:31:00,69.93,69.95,69.925,69.925,7947
2024-03-22 15:30:00,69.9,69.93,69.895,69.92,5544
2024-03-22 15:29:00,69.87,69.905,69.87,69.89,6690
2024-03-22 15:28:00,69.855,69.875,69.855,69.875,6339
2024-03-22 15:27:00,69.865,69.87,69.85,69.85,4621
2024-03-22 15:26:00,69.89,69.9,69.865,69.865,5954
2024-03-22 15:25:00,69.925,69.93,69.89,69.89,6636
2024-03-22 15:24:00,69.895,69.93,69.89,69.92,5855
2024-03-22 15:23:00,69.91,69.93,69.9,69.9,6679
2024-03-22 15:22:00,69.89,69.91,69.89,69.905,4780
2024-03-22 15:21:00,69.875,69.9,69.865,69.9,5673
2024-03-22 15:20:00,69.89,69.89,69.87,69.87,6632
2024-03-22 15:19:00,69.915,69.92,69.895,69.895,4319
2024-03-22 15:18:00,69.939,69.939,69.9,69.915,6189
2024-03-22 15:17:00,69.945,69.945,69.92,69.935,4503
2024-03-22 15:16:00,70.03,70.04,69.955,69.955,18562
2024-03-22 15:15:00,70.03,70.045,70.03,70.04,5246
2024-03-22 15:14:00,70.045,70.045,70.025,70.03,20007
2024-03-22 15:13:00,70.045,70.05,70.04,70.045,1642
2024-03-22 15:12:00,70.045,70.055,70.035,70.045,5903
2024-03-22 15:11:00,70.055,70.06,70.04,70.05,3650
2024-03-22 15:10:00,70.05,70.065,70.05,70.055,5004
2024-03-22 15:09:00,70.055,70.06,70.04,70.045,3810
2024-03-22 15:08:00,70.035,70.059,70.035,70.05,7636
2024-03-22 15:07:00,70.04,70.04,70.025,70.035,13331
2024-03-22 15:06:00,70.06,70.06,70.05,70.05,3574
2024-03-22 15:05:00,70.055,70.065,70.03,70.065,3285
2024-03-22 15:04:00,70.035,70.05,70.03,70.045,6754
2024-03-22 15:03:00,70.04,70.04,70.03,70.035,2112
2024-03-22 15:02:00,70.06,70.06,70.04,70.05,5127
2024-03-22 15:01:00,70.02,70.07,70.02,70.065,6418
2024-03-22 15:00:00,70.02,70.025,70.01,70.015,4784
2024-03-22 14:59:00,70.01,70.03,70.01,70.03,2372
2024-03-22 14:58:00,70.01,70.015,70.01,70.015,2752
2024-03-22 14:57:00,70.025,70.025,70.005,70.005,2339
2024-03-22 14:56:00,70.021,70.025,70.01,70.025,3664
2024-03-22 14:55:00,70.04,70.04,70.01,70.025,4088
2024-03-22 14:54:00,70.005,70.045,70.0,70.04,4176
2024-03-22 14:53:00,70.01,70.01,70.01,70.01,495
2024-03-22 14:52:00,70.02,70.02,70.005,70.005,2218
2024-03-22 14:51:00,70.025,70.03,70.02,70.02,3010
2024-03-22 14:50:00,70.02,70.03,70.0,70.025,3449
2024-03-22 14:49:00,70.02,70.03,70.01,70.025,2613
2024-03-22 14:48:00,70.005,70.02,69.99,70.02,3447
2024-03-22 14:47:00,69.985,70.005,69.985,70.005,2524
2024-03-22 14:46:00,69.995,69.995,69.985,69.99,1286
