,1. open,2. high,3. low,4. close,5. volume
2020-03-31 15:59:00,135.224,135.433,134.47,135.164,34194
2020-03-31 15:58:00,135.369,135.529,134.894,135.058,8932
2020-03-31 15:57:00,135.533,135.703,135.116,135.367,12243
2020-03-31 15:56:00,135.263,135.838,135.155,135.521,6774
2020-03-31 15:55:00,135.036,135.384,134.745,135.164,7046
2020-03-31 15:54:00,135.147,135.278,134.518,135.082,4705
2020-03-31 15:53:00,134.838,135.206,134.567,135.053,3892
2020-03-31 15:52:00,134.867,135.172,134.653,134.812,4302
2020-03-31 15:51:00,135.224,135.336,134.552,134.72,4026
2020-03-31 15:50:00,134.689,135.297,134.47,135.13,6697
2020-03-31 15:49:00,134.925,135.047,134.499,134.605,1600
2020-03-31 15:48:00,135.33,135.394,134.904,135.029,3305
2020-03-31 15:47:00,135.388,135.471,135.02,135.347,2942
2020-03-31 15:46:00,135.301,135.462,135.02,135.376,3961
2020-03-31 15:45:00,135.219,135.288,134.904,135.193,4000
2020-03-31 15:44:00,135.272,135.462,135.164,135.232,1605
2020-03-31 15:43:00,135.253,135.404,135.086,135.232,1603
2020-03-31 15:42:00,135.321,135.394,134.769,135.116,4338
2020-03-31 15:41:00,135.369,135.433,135.251,135.347,500
2020-03-31 15:40:00,135.292,135.539,135.15,135.217,1460
2020-03-31 15:39:00,135.407,135.558,135.039,135.183,2256
2020-03-31 15:38:00,135.205,135.375,135.068,135.232,2477
2020-03-31 15:37:00,135.128,135.408,135.049,135.275,1200
2020-03-31 15:36:00,135.118,135.24,134.943,135.097,2103
2020-03-31 15:35:00,135.417,135.548,134.943,135.087,1908
2020-03-31 15:34:00,135.186,135.384,135.106,135.28,1201
2020-03-31 15:33:00,134.988,135.24,134.841,135.164,1120
2020-03-31 15:32:00,135.234,135.297,134.75,134.99,1500
2020-03-31 15:31:00,135.171,135.355,134.952,135.019,700
2020-03-31 15:30:00,135.012,135.384,134.933,135.077,1204
2020-03-31 15:29:00,135.147,135.22,134.779,134.904,1596
2020-03-31 15:28:00,134.949,135.153,134.87,135.077,485
2020-03-31 15:27:00,134.891,135.133,134.812,135.058,260
2020-03-31 15:26:00,134.78,135.047,134.653,134.942,2201
2020-03-31 15:25:00,134.549,134.757,134.451,134.653,1200
2020-03-31 15:24:00,134.626,134.709,134.422,134.499,2228
2020-03-31 15:23:00,134.867,134.931,134.451,134.518,4416
2020-03-31 15:22:00,134.819,134.94,134.538,134.865,2492
2020-03-31 15:21:00,134.568,134.892,134.489,134.745,2314
2020-03-31 15:20:00,134.674,134.834,134.47,134.653,1400
2020-03-31 15:19:00,134.616,135.056,134.538,134.836,1000
2020-03-31 15:18:00,134.79,134.854,134.489,134.658,2100
2020-03-31 15:17:00,134.665,134.979,134.562,134.855,2908
2020-03-31 15:16:00,134.79,134.854,134.335,134.446,1800
2020-03-31 15:15:00,134.573,134.834,134.494,134.759,911
2020-03-31 15:14:00,134.944,135.051,134.287,134.402,2200
2020-03-31 15:13:00,135.041,135.211,134.865,134.933,1100
2020-03-31 15:12:00,134.983,135.143,134.885,135.039,700
2020-03-31 15:11:00,134.954,135.249,134.865,135.174,2402
2020-03-31 15:10:00,135.079,135.143,135.0,135.068,334
2020-03-31 15:09:00,135.007,135.191,134.928,135.116,600
2020-03-31 15:08:00,134.872,135.104,134.793,135.029,3780
2020-03-31 15:07:00,135.19,135.365,134.769,134.836,2204
2020-03-31 15:06:00,135.282,135.346,135.029,135.097,601
2020-03-31 15:05:00,135.321,135.433,135.184,135.357,400
2020-03-31 15:04:00,135.456,135.519,134.981,135.048,200
2020-03-31 15:03:00,135.735,135.799,135.54,135.608,200
2020-03-31 15:02:00,136.073,136.137,135.752,135.82,200
2020-03-31 15:01:00,136.362,136.533,136.07,136.138,1400
2020-03-31 15:00:00,136.227,136.291,136.147,136.215,100
2020-03-31 14:59:00,136.063,136.398,135.839,136.177,1000
2020-03-31 14:58:00,136.324,136.388,135.839,135.907,500
2020-03-31 14:57:00,136.218,136.513,135.974,136.437,549
2020-03-31 14:56:00,136.767,136.832,136.128,136.196,1300
2020-03-31 14:55:00,136.574,136.774,136.466,136.644,1200
2020-03-31 14:54:00,136.56,136.624,136.417,136.485,600
2020-03-31 14:53:00,137.1,137.372,136.543,136.611,2564
2020-03-31 14:52:00,137.25,137.314,136.967,137.141,601
2020-03-31 14:51:00,136.709,137.054,136.581,136.977,1901
2020-03-31 14:50:00,136.652,136.716,136.456,136.524,200
2020-03-31 14:49:00,136.507,136.571,136.388,136.456,400
2020-03-31 14:48:00,136.488,136.552,136.408,136.476,100
2020-03-31 14:47:00,135.513,136.34,135.434,136.263,2900
2020-03-31 14:46:00,135.899,135.992,135.752,135.82,400
2020-03-31 14:45:00,136.15,136.214,135.434,135.502,900
2020-03-31 14:44:00,136.131,136.349,135.935,136.003,2880
2020-03-31 14:43:00,135.928,136.176,135.849,135.969,1600
2020-03-31 14:41:00,135.769,135.833,135.69,135.757,227
2020-03-31 14:40:00,135.803,136.069,135.694,135.81,3837
2020-03-31 14:39:00,135.803,135.867,135.55,135.617,500
2020-03-31 14:38:00,135.61,135.819,135.531,135.723,900
2020-03-31 14:37:00,135.108,135.539,135.029,135.463,800
2020-03-31 14:36:00,135.301,135.365,134.928,134.995,500
2020-03-31 14:35:00,135.427,135.49,135.232,135.299,1221
2020-03-31 14:34:00,135.523,135.587,135.444,135.511,100
2020-03-31 14:33:00,135.398,135.481,135.251,135.405,399
2020-03-31 14:32:00,135.33,135.394,135.193,135.26,300
2020-03-31 14:31:00,135.166,135.51,135.087,135.434,505
2020-03-31 14:30:00,135.485,135.558,135.084,135.309,1268
2020-03-31 14:29:00,135.591,135.722,135.473,135.637,902
