,1. open,2. high,3. low,4. close,5. volume
2015-07-31 15:59:00,86.694,86.962,86.445,86.744,68280
2015-07-31 15:58:00,86.694,86.913,86.428,86.711,13029
2015-07-31 15:57:00,86.645,86.896,86.408,86.703,10942
2015-07-31 15:56:00,86.645,86.847,86.371,86.645,13505
2015-07-31 15:55:00,86.636,86.855,86.379,86.653,15304
2015-07-31 15:54:00,86.604,86.843,86.338,86.645,13439
2015-07-31 15:53:00,86.571,86.806,86.322,86.604,10049
2015-07-31 15:52:00,86.571,86.781,86.322,86.579,11612
2015-07-31 15:51:00,86.563,86.806,86.33,86.571,9770
2015-07-31 15:50:00,86.612,86.814,86.33,86.571,15769
2015-07-31 15:49:00,86.636,86.847,86.371,86.612,10107
2015-07-31 15:48:00,86.661,86.88,86.404,86.645,9005
2015-07-31 15:47:00,86.719,86.929,86.436,86.678,8795
2015-07-31 15:46:00,86.698,86.929,86.428,86.719,14101
2015-07-31 15:45:00,86.768,86.97,86.42,86.711,16238
2015-07-31 15:44:00,86.71,86.979,86.477,86.785,12882
2015-07-31 15:43:00,86.735,86.946,86.477,86.727,7188
2015-07-31 15:42:00,86.665,86.937,86.432,86.744,6625
2015-07-31 15:41:00,86.731,86.933,86.428,86.678,13247
2015-07-31 15:40:00,86.686,86.946,86.436,86.74,8366
2015-07-31 15:39:00,86.727,86.929,86.461,86.703,6800
2015-07-31 15:38:00,86.727,86.95,86.494,86.735,7470
2015-07-31 15:37:00,86.752,86.954,86.477,86.727,5309
2015-07-31 15:36:00,86.752,86.995,86.518,86.76,5857
2015-07-31 15:35:00,86.752,86.954,86.51,86.756,4912
2015-07-31 15:34:00,86.739,86.97,86.502,86.768,7458
2015-07-31 15:33:00,86.76,86.987,86.51,86.752,5376
2015-07-31 15:32:00,86.71,86.954,86.465,86.76,4908
2015-07-31 15:31:00,86.731,86.937,86.473,86.715,3530
2015-07-31 15:30:00,86.678,86.942,86.445,86.744,5952
2015-07-31 15:29:00,86.686,86.888,86.424,86.678,3617
2015-07-31 15:28:00,86.686,86.913,86.445,86.703,4725
2015-07-31 15:27:00,86.719,86.921,86.453,86.694,4300
2015-07-31 15:26:00,86.756,86.962,86.494,86.735,5787
2015-07-31 15:25:00,86.776,86.979,86.518,86.768,3000
2015-07-31 15:24:00,86.743,86.987,86.51,86.785,5614
2015-07-31 15:23:00,86.752,86.987,86.518,86.76,5299
2015-07-31 15:22:00,86.756,86.962,86.51,86.752,2437
2015-07-31 15:21:00,86.752,86.979,86.506,86.76,5513
2015-07-31 15:20:00,86.784,86.987,86.518,86.768,5950
2015-07-31 15:19:00,86.768,87.012,86.535,86.793,9050
2015-07-31 15:18:00,86.772,86.979,86.518,86.76,3892
2015-07-31 15:17:00,86.784,86.995,86.527,86.777,4644
2015-07-31 15:16:00,86.752,86.987,86.514,86.793,6218
2015-07-31 15:15:00,86.752,86.954,86.51,86.76,2500
2015-07-31 15:14:00,86.756,86.962,86.51,86.768,5217
2015-07-31 15:13:00,86.801,87.003,86.518,86.76,4557
