,1. open,2. high,3. low,4. close,5. volume
2023-09-29 15:59:00,97.255,97.353,97.234,97.25,66235
2023-09-29 15:58:00,97.294,97.313,97.214,97.24,25953
2023-09-29 15:57:00,97.176,97.323,97.155,97.299,24175
2023-09-29 15:56:00,97.255,97.274,97.086,97.162,17772
2023-09-29 15:55:00,97.6,97.619,97.175,97.25,22164
2023-09-29 15:54:00,97.452,97.649,97.328,97.566,51763
2023-09-29 15:53:00,97.669,97.688,97.411,97.437,9835
2023-09-29 15:52:00,97.709,97.728,97.643,97.694,8547
2023-09-29 15:51:00,97.63,97.742,97.569,97.704,10257
2023-09-29 15:50:00,97.442,97.629,97.367,97.615,9213
2023-09-29 15:49:00,97.422,97.511,97.392,97.487,4203
2023-09-29 15:48:00,97.452,97.52,97.352,97.388,3089
2023-09-29 15:47:00,97.457,97.511,97.397,97.492,5582
2023-09-29 15:46:00,97.314,97.491,97.244,97.477,12898
2023-09-29 15:45:00,97.255,97.313,97.244,97.299,6279
2023-09-29 15:44:00,97.314,97.343,97.214,97.26,4962
2023-09-29 15:43:00,97.275,97.323,97.224,97.299,4214
2023-09-29 15:42:00,97.275,97.333,97.229,97.304,8724
2023-09-29 15:41:00,97.299,97.318,97.214,97.275,5775
2023-09-29 15:40:00,97.275,97.313,97.239,97.28,2189
2023-09-29 15:39:00,97.255,97.382,97.204,97.289,18275
2023-09-29 15:38:00,97.255,97.294,97.214,97.26,2368
2023-09-29 15:37:00,97.215,97.323,97.204,97.275,4583
2023-09-29 15:36:00,97.146,97.234,97.125,97.211,5791
2023-09-29 15:35:00,97.156,97.185,97.106,97.122,4063
2023-09-29 15:34:00,97.181,97.225,97.145,97.176,5871
2023-09-29 15:33:00,97.235,97.254,97.155,97.196,5845
2023-09-29 15:32:00,97.191,97.294,97.175,97.25,6649
2023-09-29 15:31:00,97.215,97.234,97.155,97.196,4886
2023-09-29 15:30:00,97.294,97.313,97.175,97.191,3321
2023-09-29 15:29:00,97.339,97.363,97.283,97.329,2038
2023-09-29 15:28:00,97.25,97.387,97.239,97.349,2425
2023-09-29 15:27:00,97.176,97.323,97.135,97.26,10048
2023-09-29 15:26:00,97.304,97.323,97.145,97.181,18198
2023-09-29 15:25:00,97.304,97.348,97.263,97.319,3664
2023-09-29 15:24:00,97.314,97.338,97.268,97.319,5614
2023-09-29 15:23:00,97.255,97.358,97.244,97.319,5193
2023-09-29 15:22:00,97.245,97.274,97.199,97.26,1103
2023-09-29 15:21:00,97.265,97.311,97.234,97.25,1292
2023-09-29 15:20:00,97.314,97.333,97.254,97.27,1408
2023-09-29 15:19:00,97.383,97.412,97.362,97.388,2026
2023-09-29 15:18:00,97.275,97.422,97.257,97.408,4615
2023-09-29 15:17:00,97.225,97.289,97.204,97.24,1907
2023-09-29 15:16:00,97.294,97.313,97.283,97.299,503
2023-09-29 15:15:00,97.275,97.348,97.261,97.319,2057
2023-09-29 15:14:00,97.373,97.392,97.254,97.27,3308
2023-09-29 15:13:00,97.304,97.461,97.293,97.408,4223
2023-09-29 15:12:00,97.275,97.313,97.254,97.299,1055
2023-09-29 15:11:00,97.205,97.264,97.194,97.25,824
2023-09-29 15:10:00,97.265,97.294,97.229,97.26,2065
2023-09-29 15:09:00,97.373,97.392,97.26,97.277,1539
2023-09-29 15:08:00,97.393,97.422,97.332,97.373,1400
2023-09-29 15:07:00,97.353,97.373,97.323,97.359,919
2023-09-29 15:06:00,97.344,97.407,97.332,97.349,1576
2023-09-29 15:05:00,97.339,97.397,97.313,97.351,2387
2023-09-29 15:04:00,97.373,97.402,97.303,97.329,2841
2023-09-29 15:03:00,97.58,97.599,97.323,97.359,5413
2023-09-29 15:02:00,97.62,97.639,97.599,97.615,641
2023-09-29 15:01:00,97.561,97.629,97.549,97.61,1368
2023-09-29 15:00:00,97.556,97.634,97.544,97.566,1831
2023-09-29 14:59:00,97.531,97.599,97.51,97.585,3214
2023-09-29 14:58:00,97.565,97.609,97.488,97.511,2404
2023-09-29 14:57:00,97.442,97.585,97.431,97.571,3172
2023-09-29 14:56:00,97.408,97.445,97.397,97.431,984
2023-09-29 14:55:00,97.314,97.432,97.303,97.418,1501
2023-09-29 14:54:00,97.26,97.333,97.249,97.319,1990
2023-09-29 14:53:00,97.245,97.294,97.234,97.275,1518
2023-09-29 14:52:00,97.225,97.269,97.214,97.23,696
2023-09-29 14:51:00,97.284,97.313,97.244,97.27,1669
2023-09-29 14:50:00,97.186,97.353,97.175,97.28,6276
2023-09-29 14:49:00,97.196,97.244,97.175,97.191,450
2023-09-29 14:48:00,97.294,97.313,97.234,97.26,2111
2023-09-29 14:47:00,97.284,97.333,97.273,97.319,1189
2023-09-29 14:46:00,97.284,97.323,97.254,97.309,1577
2023-09-29 14:45:00,97.304,97.333,97.273,97.299,2000
2023-09-29 14:44:00,97.309,97.353,97.298,97.319,1363
2023-09-29 14:43:00,97.265,97.313,97.214,97.299,6907
2023-09-29 14:42:00,97.196,97.225,97.185,97.211,1092
2023-09-29 14:41:00,97.166,97.225,97.155,97.171,1430
