,1. open,2. high,3. low,4. close,5. volume
2021-11-30 15:59:00,230.934,231.455,230.228,230.666,154159
2021-11-30 15:58:00,230.758,231.153,230.472,230.969,51708
2021-11-30 15:57:00,230.773,230.987,230.15,230.793,32022
2021-11-30 15:56:00,231.031,231.27,230.715,230.793,25485
2021-11-30 15:55:00,230.485,231.328,230.043,231.056,40983
2021-11-30 15:54:00,231.207,231.28,230.228,230.476,43475
2021-11-30 15:53:00,231.46,231.533,231.144,231.29,12310
2021-11-30 15:52:00,231.509,231.699,231.407,231.514,10589
2021-11-30 15:51:00,231.655,231.757,231.397,231.544,11435
2021-11-30 15:50:00,231.967,232.157,231.368,231.739,30587
2021-11-30 15:49:00,232.337,232.42,232.002,232.177,11388
2021-11-30 15:48:00,232.503,232.586,232.265,232.421,7762
2021-11-30 15:47:00,232.717,232.791,232.43,232.548,5763
2021-11-30 15:46:00,232.824,232.898,232.596,232.752,3803
2021-11-30 15:45:00,232.756,233.054,232.703,232.859,8095
2021-11-30 15:44:00,232.6,232.947,232.557,232.84,4818
2021-11-30 15:43:00,232.605,232.766,232.498,232.674,6412
2021-11-30 15:42:00,232.785,232.859,232.567,232.645,3277
2021-11-30 15:41:00,232.78,232.947,232.703,232.782,6124
2021-11-30 15:40:00,232.678,232.918,232.615,232.811,8599
2021-11-30 15:39:00,232.922,233.034,232.703,232.782,3849
2021-11-30 15:38:00,232.897,233.112,232.801,232.986,2701
2021-11-30 15:37:00,233.112,233.205,232.801,232.879,3856
2021-11-30 15:36:00,232.922,233.142,232.869,233.103,3076
2021-11-30 15:35:00,233.156,233.244,232.869,232.947,2975
2021-11-30 15:34:00,233.268,233.342,233.054,233.191,1495
2021-11-30 15:33:00,233.234,233.41,233.19,233.361,1101
2021-11-30 15:32:00,233.078,233.307,233.034,233.225,3000
2021-11-30 15:31:00,233.146,233.239,233.011,233.167,1560
2021-11-30 15:30:00,233.087,233.332,233.034,233.22,1378
2021-11-30 15:29:00,233.282,233.429,233.171,233.283,2226
2021-11-30 15:28:00,233.351,233.454,233.19,233.279,1714
2021-11-30 15:27:00,233.175,233.454,233.093,233.371,4520
2021-11-30 15:26:00,232.888,233.21,232.844,233.167,7075
2021-11-30 15:25:00,233.0,233.073,232.81,232.889,1873
2021-11-30 15:24:00,233.117,233.19,232.956,233.074,2200
2021-11-30 15:23:00,233.204,233.283,233.034,233.137,1673
2021-11-30 15:22:00,233.204,233.327,233.142,233.288,1700
2021-11-30 15:21:00,233.156,233.356,233.112,233.274,2150
2021-11-30 15:20:00,233.204,233.278,233.103,233.215,900
2021-11-30 15:19:00,233.204,233.278,233.078,233.196,1135
2021-11-30 15:18:00,233.097,233.385,233.054,233.249,2469
2021-11-30 15:17:00,233.029,233.151,232.966,233.079,3543
2021-11-30 15:16:00,232.98,233.151,232.898,233.074,3478
2021-11-30 15:15:00,232.804,233.142,232.761,233.103,2078
2021-11-30 15:14:00,232.795,233.005,232.693,232.898,4481
2021-11-30 15:13:00,232.829,232.966,232.713,232.801,3903
2021-11-30 15:12:00,232.815,232.976,232.703,232.859,3764
2021-11-30 15:11:00,232.683,232.908,232.615,232.816,4952
2021-11-30 15:10:00,232.698,232.781,232.508,232.723,4741
2021-11-30 15:09:00,232.8,233.054,232.654,232.733,2418
2021-11-30 15:08:00,232.883,233.044,232.762,232.84,4371
2021-11-30 15:07:00,232.912,233.015,232.82,232.918,1500
2021-11-30 15:06:00,232.795,233.005,232.752,232.884,3120
2021-11-30 15:05:00,232.737,232.966,232.693,232.845,1416
2021-11-30 15:04:00,232.776,232.859,232.684,232.811,1760
2021-11-30 15:03:00,232.873,232.947,232.713,232.869,1835
2021-11-30 15:02:00,232.815,232.966,232.596,232.85,3010
2021-11-30 15:01:00,232.922,233.015,232.771,232.85,1831
2021-11-30 15:00:00,232.776,233.005,232.625,232.957,2717
2021-11-30 14:59:00,232.824,232.937,232.703,232.898,2492
2021-11-30 14:58:00,232.785,232.966,232.703,232.864,2800
2021-11-30 14:57:00,232.746,232.888,232.674,232.85,1301
2021-11-30 14:56:00,232.561,232.815,232.518,232.772,2844
2021-11-30 14:55:00,232.454,232.654,232.308,232.548,4713
2021-11-30 14:54:00,232.532,232.664,232.44,232.518,1310
2021-11-30 14:53:00,232.756,232.869,232.469,232.582,3741
2021-11-30 14:52:00,232.854,232.957,232.679,232.757,1500
2021-11-30 14:51:00,232.854,233.025,232.742,232.889,3159
2021-11-30 14:50:00,233.136,233.22,232.781,232.908,8331
2021-11-30 14:49:00,233.039,233.196,232.995,233.158,3340
2021-11-30 14:48:00,233.185,233.259,233.059,233.137,815
2021-11-30 14:47:00,233.136,233.268,233.034,233.171,1030
2021-11-30 14:46:00,233.185,233.307,233.093,233.176,1482
2021-11-30 14:45:00,233.331,233.449,233.122,233.201,2478
2021-11-30 14:44:00,233.351,233.424,233.307,233.386,100
2021-11-30 14:43:00,233.456,233.532,233.312,233.454,825
2021-11-30 14:42:00,233.555,233.629,233.278,233.492,2034
2021-11-30 14:41:00,233.662,233.736,233.502,233.581,615
2021-11-30 14:40:00,233.546,233.717,233.448,233.644,2712
2021-11-30 14:39:00,233.633,233.707,233.453,233.532,942
2021-11-30 14:38:00,233.504,233.707,233.461,233.669,1157
2021-11-30 14:37:00,233.521,233.697,233.478,233.576,900
2021-11-30 14:36:00,233.341,233.59,233.249,233.503,3645
