,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,81.59,81.62,81.58,81.58,58483
2024-03-22 15:58:00,81.6,81.615,81.59,81.595,30577
2024-03-22 15:57:00,81.6,81.615,81.595,81.6,21949
2024-03-22 15:56:00,81.555,81.63,81.55,81.595,21727
2024-03-22 15:55:00,81.615,81.63,81.54,81.55,12882
2024-03-22 15:54:00,81.63,81.65,81.62,81.62,8244
2024-03-22 15:53:00,81.61,81.64,81.595,81.63,16096
2024-03-22 15:52:00,81.6,81.62,81.59,81.605,10613
2024-03-22 15:51:00,81.595,81.605,81.595,81.595,4246
2024-03-22 15:50:00,81.63,81.63,81.58,81.59,9340
2024-03-22 15:49:00,81.58,81.625,81.58,81.625,5718
2024-03-22 15:48:00,81.565,81.595,81.565,81.575,6997
2024-03-22 15:47:00,81.545,81.575,81.54,81.57,8650
2024-03-22 15:46:00,81.545,81.559,81.535,81.545,10987
2024-03-22 15:45:00,81.545,81.55,81.54,81.545,5891
2024-03-22 15:44:00,81.56,81.56,81.53,81.545,7266
2024-03-22 15:43:00,81.56,81.565,81.55,81.555,4215
2024-03-22 15:42:00,81.56,81.565,81.545,81.555,9048
2024-03-22 15:41:00,81.555,81.57,81.545,81.565,5638
2024-03-22 15:40:00,81.565,81.569,81.555,81.555,2724
2024-03-22 15:39:00,81.55,81.585,81.55,81.56,6565
2024-03-22 15:38:00,81.56,81.56,81.54,81.545,4241
2024-03-22 15:37:00,81.58,81.58,81.565,81.565,3419
2024-03-22 15:36:00,81.554,81.595,81.554,81.575,5290
2024-03-22 15:35:00,81.57,81.58,81.55,81.555,5849
2024-03-22 15:34:00,81.555,81.565,81.55,81.56,4442
2024-03-22 15:33:00,81.565,81.565,81.555,81.555,2490
2024-03-22 15:32:00,81.575,81.575,81.56,81.565,5560
2024-03-22 15:31:00,81.585,81.585,81.575,81.575,1352
2024-03-22 15:30:00,81.56,81.585,81.56,81.585,2304
2024-03-22 15:29:00,81.535,81.56,81.535,81.56,4511
2024-03-22 15:28:00,81.52,81.539,81.52,81.535,5742
2024-03-22 15:27:00,81.51,81.515,81.51,81.515,1692
