,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,37.78,37.79,37.68,37.68,153180
2024-03-22 15:58:00,37.779,37.79,37.77,37.78,77839
2024-03-22 15:57:00,37.755,37.78,37.74,37.78,53458
2024-03-22 15:56:00,37.75,37.765,37.74,37.755,57979
2024-03-22 15:55:00,37.75,37.77,37.74,37.75,72642
2024-03-22 15:54:00,37.79,37.795,37.75,37.75,115940
2024-03-22 15:53:00,37.76,37.795,37.755,37.785,57673
2024-03-22 15:52:00,37.765,37.775,37.75,37.755,34372
2024-03-22 15:51:00,37.755,37.77,37.755,37.77,16187
2024-03-22 15:50:00,37.77,37.775,37.745,37.755,51342
2024-03-22 15:49:00,37.785,37.785,37.755,37.77,21232
2024-03-22 15:48:00,37.75,37.79,37.75,37.78,33397
2024-03-22 15:47:00,37.755,37.76,37.745,37.75,43696
2024-03-22 15:46:00,37.765,37.77,37.755,37.76,9864
2024-03-22 15:45:00,37.765,37.775,37.75,37.765,33100
2024-03-22 15:44:00,37.735,37.77,37.73,37.765,25351
2024-03-22 15:43:00,37.735,37.74,37.73,37.735,7070
2024-03-22 15:42:00,37.73,37.74,37.725,37.735,10582
2024-03-22 15:41:00,37.707,37.73,37.7,37.73,33275
2024-03-22 15:40:00,37.705,37.71,37.69,37.705,25680
2024-03-22 15:39:00,37.72,37.73,37.7,37.7,34229
2024-03-22 15:38:00,37.715,37.72,37.71,37.715,8162
2024-03-22 15:37:00,37.705,37.73,37.705,37.715,19508
2024-03-22 15:36:00,37.72,37.72,37.7,37.71,36250
2024-03-22 15:35:00,37.715,37.72,37.71,37.716,31012
2024-03-22 15:34:00,37.695,37.72,37.695,37.715,13374
2024-03-22 15:33:00,37.725,37.73,37.665,37.695,43106
2024-03-22 15:32:00,37.73,37.73,37.72,37.72,5122
2024-03-22 15:31:00,37.73,37.73,37.72,37.73,18972
2024-03-22 15:30:00,37.715,37.737,37.715,37.724,10490
2024-03-22 15:29:00,37.715,37.72,37.71,37.715,17060
2024-03-22 15:28:00,37.71,37.72,37.705,37.717,10928
2024-03-22 15:27:00,37.7,37.71,37.695,37.71,18418
2024-03-22 15:26:00,37.7,37.7,37.69,37.7,15126
2024-03-22 15:25:00,37.69,37.7,37.68,37.69,22548
2024-03-22 15:24:00,37.68,37.69,37.675,37.69,9424
2024-03-22 15:23:00,37.68,37.68,37.675,37.68,2612
2024-03-22 15:22:00,37.655,37.68,37.65,37.675,13624
2024-03-22 15:21:00,37.65,37.655,37.645,37.655,6967
2024-03-22 15:20:00,37.64,37.65,37.636,37.65,16957
2024-03-22 15:19:00,37.615,37.64,37.615,37.64,19565
2024-03-22 15:18:00,37.6,37.62,37.585,37.615,20867
2024-03-22 15:17:00,37.605,37.605,37.58,37.59,22455
2024-03-22 15:16:00,37.695,37.695,37.605,37.61,21824
2024-03-22 15:15:00,37.695,37.7,37.69,37.7,2428
2024-03-22 15:14:00,37.7,37.7,37.69,37.69,7258
2024-03-22 15:13:00,37.71,37.71,37.685,37.69,13069
2024-03-22 15:12:00,37.69,37.715,37.68,37.71,24449
2024-03-22 15:11:00,37.69,37.7,37.68,37.685,19935
2024-03-22 15:10:00,37.705,37.705,37.69,37.7,29348
2024-03-22 15:09:00,37.715,37.72,37.7,37.705,18942
2024-03-22 15:08:00,37.735,37.74,37.71,37.715,24536
2024-03-22 15:07:00,37.735,37.74,37.73,37.735,30734
2024-03-22 15:06:00,37.745,37.745,37.73,37.74,5718
2024-03-22 15:05:00,37.725,37.749,37.72,37.74,15654
2024-03-22 15:04:00,37.725,37.73,37.72,37.725,8748
2024-03-22 15:03:00,37.725,37.727,37.72,37.72,7318
2024-03-22 15:02:00,37.73,37.735,37.72,37.73,6380
2024-03-22 15:01:00,37.725,37.739,37.72,37.739,5544
2024-03-22 15:00:00,37.745,37.745,37.72,37.725,7681
2024-03-22 14:59:00,37.755,37.755,37.74,37.74,6785
2024-03-22 14:58:00,37.75,37.76,37.745,37.755,3942
2024-03-22 14:57:00,37.755,37.755,37.745,37.75,3233
2024-03-22 14:56:00,37.745,37.755,37.74,37.755,10382
2024-03-22 14:55:00,37.755,37.76,37.74,37.75,20625
2024-03-22 14:54:00,37.73,37.76,37.73,37.76,9065
2024-03-22 14:53:00,37.735,37.74,37.735,37.74,1357
2024-03-22 14:52:00,37.72,37.74,37.715,37.74,8599
2024-03-22 14:51:00,37.69,37.715,37.69,37.71,5822
2024-03-22 14:50:00,37.705,37.705,37.695,37.695,3301
2024-03-22 14:49:00,37.69,37.72,37.69,37.7,9790
2024-03-22 14:48:00,37.695,37.71,37.695,37.695,7358
2024-03-22 14:47:00,37.69,37.7,37.68,37.69,12680
2024-03-22 14:46:00,37.7,37.7,37.69,37.695,4269
2024-03-22 14:45:00,37.71,37.71,37.69,37.69,8548
2024-03-22 14:44:00,37.695,37.71,37.69,37.7,5742
2024-03-22 14:43:00,37.7,37.7,37.69,37.695,5177
2024-03-22 14:42:00,37.695,37.71,37.69,37.705,4737
2024-03-22 14:41:00,37.695,37.7,37.69,37.695,3500
2024-03-22 14:40:00,37.705,37.705,37.69,37.695,5767
2024-03-22 14:39:00,37.715,37.715,37.7,37.7,4695
2024-03-22 14:38:00,37.715,37.72,37.71,37.715,2071
2024-03-22 14:37:00,37.7,37.72,37.691,37.72,4512
2024-03-22 14:36:00,37.685,37.697,37.685,37.697,4189
2024-03-22 14:35:00,37.68,37.685,37.674,37.685,7514
2024-03-22 14:34:00,37.69,37.69,37.675,37.68,40876
2024-03-22 14:33:00,37.69,37.695,37.685,37.69,21579
2024-03-22 14:32:00,37.69,37.7,37.69,37.7,4973
2024-03-22 14:31:00,37.694,37.7,37.69,37.7,12143
2024-03-22 14:30:00,37.695,37.695,37.69,37.695,10609
2024-03-22 14:29:00,37.695,37.705,37.69,37.695,11075
2024-03-22 14:28:00,37.7,37.7,37.69,37.695,8540
2024-03-22 14:27:00,37.695,37.695,37.695,37.695,3729
2024-03-22 14:26:00,37.695,37.7,37.69,37.695,2749
2024-03-22 14:25:00,37.71,37.71,37.695,37.699,8163
2024-03-22 14:24:00,37.705,37.71,37.7,37.71,2236
2024-03-22 14:23:00,37.695,37.71,37.695,37.7,10348
2024-03-22 14:22:00,37.69,37.7,37.69,37.69,12825
2024-03-22 14:21:00,37.7,37.707,37.69,37.7,3091
2024-03-22 14:20:00,37.69,37.705,37.68,37.705,11634
2024-03-22 14:19:00,37.685,37.69,37.675,37.685,14670
2024-03-22 14:18:00,37.71,37.712,37.68,37.685,13484
2024-03-22 14:17:00,37.69,37.705,37.69,37.705,5277
2024-03-22 14:16:00,37.71,37.715,37.675,37.68,55833
2024-03-22 14:15:00,37.715,37.715,37.71,37.715,8282
2024-03-22 14:14:00,37.72,37.72,37.71,37.715,12523
2024-03-22 14:13:00,37.705,37.719,37.7,37.71,14241
2024-03-22 14:12:00,37.71,37.71,37.705,37.705,2332
2024-03-22 14:11:00,37.705,37.72,37.7,37.71,8199
2024-03-22 14:10:00,37.705,37.71,37.7,37.705,2560
2024-03-22 14:09:00,37.71,37.71,37.701,37.701,1779
2024-03-22 14:08:00,37.705,37.71,37.7,37.7,5502
2024-03-22 14:07:00,37.71,37.715,37.7,37.7,8785
2024-03-22 14:06:00,37.705,37.72,37.7,37.715,26847
2024-03-22 14:05:00,37.71,37.71,37.7,37.705,4081
2024-03-22 14:04:00,37.695,37.71,37.695,37.71,7158
2024-03-22 14:03:00,37.695,37.7,37.69,37.7,7449
2024-03-22 14:02:00,37.695,37.7,37.69,37.695,6544
2024-03-22 14:01:00,37.7,37.7,37.69,37.695,2347
2024-03-22 14:00:00,37.69,37.7,37.69,37.7,5815
2024-03-22 13:59:00,37.69,37.7,37.69,37.695,4773
2024-03-22 13:58:00,37.694,37.7,37.69,37.695,5138
2024-03-22 13:57:00,37.7,37.705,37.695,37.695,5778
2024-03-22 13:56:00,37.72,37.72,37.69,37.695,9870
2024-03-22 13:55:00,37.7,37.72,37.695,37.72,3995
2024-03-22 13:54:00,37.693,37.7,37.69,37.7,3503
2024-03-22 13:53:00,37.695,37.7,37.69,37.7,3334
2024-03-22 13:52:00,37.68,37.7,37.68,37.69,6747
2024-03-22 13:51:00,37.675,37.7,37.675,37.682,5395
2024-03-22 13:50:00,37.665,37.68,37.665,37.679,9464
2024-03-22 13:49:00,37.69,37.69,37.655,37.66,15578
2024-03-22 13:48:00,37.67,37.69,37.67,37.68,4942
2024-03-22 13:47:00,37.665,37.675,37.663,37.675,2911
2024-03-22 13:46:00,37.69,37.69,37.665,37.665,4190
2024-03-22 13:45:00,37.67,37.68,37.658,37.68,19534
2024-03-22 13:44:00,37.68,37.68,37.66,37.67,15180
2024-03-22 13:43:00,37.69,37.69,37.67,37.675,10370
2024-03-22 13:42:00,37.695,37.7,37.68,37.69,11721
2024-03-22 13:41:00,37.7,37.7,37.69,37.695,2726
2024-03-22 13:40:00,37.695,37.705,37.695,37.7,7017
2024-03-22 13:39:00,37.7,37.7,37.695,37.695,1300
2024-03-22 13:38:00,37.695,37.71,37.694,37.7,13466
2024-03-22 13:37:00,37.695,37.7,37.69,37.695,2356
2024-03-22 13:36:00,37.695,37.7,37.69,37.695,3123
2024-03-22 13:35:00,37.705,37.706,37.69,37.695,14191
2024-03-22 13:34:00,37.7,37.7,37.69,37.7,30100
2024-03-22 13:33:00,37.705,37.71,37.69,37.695,7012
2024-03-22 13:32:00,37.69,37.7,37.685,37.7,7559
2024-03-22 13:31:00,37.7,37.7,37.693,37.7,10460
2024-03-22 13:30:00,37.685,37.705,37.68,37.705,9415
2024-03-22 13:29:00,37.69,37.695,37.68,37.68,19333
2024-03-22 13:28:00,37.7,37.7,37.69,37.7,8850
2024-03-22 13:27:00,37.695,37.7,37.69,37.7,6137
2024-03-22 13:26:00,37.69,37.7,37.687,37.695,10842
2024-03-22 13:25:00,37.685,37.685,37.672,37.685,5650
2024-03-22 13:24:00,37.685,37.69,37.68,37.69,15961
2024-03-22 13:23:00,37.665,37.69,37.665,37.689,22580
2024-03-22 13:22:00,37.685,37.685,37.662,37.665,13339
2024-03-22 13:21:00,37.678,37.68,37.67,37.68,7838
2024-03-22 13:20:00,37.685,37.687,37.673,37.675,7186
2024-03-22 13:19:00,37.67,37.69,37.67,37.68,8200
2024-03-22 13:18:00,37.68,37.68,37.67,37.675,3025
2024-03-22 13:17:00,37.665,37.68,37.66,37.67,4782
2024-03-22 13:16:00,37.645,37.67,37.645,37.665,9278
2024-03-22 13:15:00,37.635,37.645,37.63,37.645,5986
2024-03-22 13:14:00,37.635,37.64,37.63,37.64,3717
2024-03-22 13:13:00,37.635,37.635,37.625,37.63,5639
2024-03-22 13:12:00,37.63,37.64,37.63,37.639,5112
2024-03-22 13:11:00,37.64,37.64,37.63,37.64,7434
2024-03-22 13:10:00,37.66,37.66,37.625,37.63,15927
2024-03-22 13:09:00,37.65,37.675,37.645,37.665,12513
2024-03-22 13:08:00,37.65,37.65,37.64,37.65,14453
2024-03-22 13:07:00,37.655,37.655,37.641,37.65,10443
2024-03-22 13:06:00,37.655,37.66,37.64,37.655,23833
2024-03-22 13:05:00,37.645,37.67,37.645,37.66,11725
2024-03-22 13:04:00,37.65,37.65,37.64,37.65,8354
2024-03-22 13:03:00,37.65,37.65,37.64,37.65,6088
2024-03-22 13:02:00,37.66,37.665,37.645,37.65,9450
2024-03-22 13:01:00,37.67,37.675,37.66,37.66,12832
2024-03-22 13:00:00,37.695,37.695,37.675,37.675,3165
2024-03-22 12:59:00,37.69,37.69,37.684,37.69,6442
2024-03-22 12:58:00,37.695,37.7,37.69,37.69,6150
2024-03-22 12:57:00,37.715,37.715,37.685,37.69,12424
2024-03-22 12:56:00,37.715,37.725,37.71,37.71,3858
2024-03-22 12:55:00,37.715,37.72,37.71,37.715,3454
2024-03-22 12:54:00,37.705,37.72,37.705,37.715,2834
2024-03-22 12:53:00,37.695,37.715,37.695,37.705,4575
2024-03-22 12:52:00,37.69,37.7,37.685,37.69,14987
2024-03-22 12:51:00,37.7,37.71,37.69,37.69,4330
2024-03-22 12:50:00,37.71,37.715,37.69,37.705,16420
2024-03-22 12:49:00,37.7,37.72,37.7,37.72,10812
2024-03-22 12:48:00,37.69,37.705,37.68,37.705,20792
2024-03-22 12:47:00,37.705,37.705,37.685,37.685,7719
2024-03-22 12:46:00,37.71,37.716,37.705,37.705,5320
2024-03-22 12:45:00,37.7,37.715,37.695,37.715,13305
2024-03-22 12:44:00,37.7,37.7,37.685,37.7,16559
2024-03-22 12:43:00,37.705,37.71,37.695,37.695,3488
2024-03-22 12:42:00,37.685,37.7,37.68,37.7,8336
2024-03-22 12:41:00,37.685,37.7,37.68,37.68,7074
2024-03-22 12:40:00,37.67,37.69,37.665,37.68,21198
2024-03-22 12:39:00,37.66,37.67,37.65,37.67,24132
2024-03-22 12:38:00,37.675,37.675,37.65,37.65,18400
2024-03-22 12:37:00,37.67,37.68,37.67,37.67,6579
2024-03-22 12:36:00,37.685,37.695,37.665,37.68,36397
2024-03-22 12:35:00,37.685,37.695,37.67,37.68,13960
2024-03-22 12:34:00,37.693,37.695,37.675,37.685,124937
2024-03-22 12:33:00,37.7,37.71,37.675,37.69,75767
2024-03-22 12:32:00,37.725,37.735,37.7,37.705,27431
2024-03-22 12:31:00,37.73,37.73,37.71,37.725,61069
2024-03-22 12:30:00,37.765,37.765,37.73,37.735,33531
2024-03-22 12:29:00,37.74,37.77,37.74,37.77,9791
2024-03-22 12:28:00,37.72,37.74,37.72,37.74,11863
2024-03-22 12:27:00,37.735,37.745,37.725,37.725,15433
2024-03-22 12:26:00,37.745,37.745,37.725,37.74,4455
2024-03-22 12:25:00,37.765,37.765,37.745,37.745,2823
2024-03-22 12:24:00,37.74,37.77,37.74,37.765,12910
2024-03-22 12:23:00,37.705,37.74,37.7,37.74,49227
2024-03-22 12:22:00,37.725,37.725,37.7,37.705,65600
2024-03-22 12:21:00,37.73,37.74,37.72,37.725,6279
2024-03-22 12:20:00,37.735,37.735,37.72,37.72,8927
2024-03-22 12:19:00,37.72,37.735,37.72,37.735,13647
2024-03-22 12:18:00,37.72,37.729,37.715,37.725,5416
2024-03-22 12:17:00,37.725,37.725,37.715,37.72,23382
2024-03-22 12:16:00,37.73,37.73,37.72,37.72,10764
2024-03-22 12:15:00,37.715,37.75,37.715,37.73,11340
2024-03-22 12:14:00,37.72,37.72,37.71,37.72,3610
2024-03-22 12:13:00,37.72,37.72,37.71,37.71,3645
2024-03-22 12:12:00,37.69,37.72,37.69,37.72,16297
2024-03-22 12:11:00,37.705,37.705,37.69,37.7,2154
2024-03-22 12:10:00,37.705,37.71,37.7,37.7,3749
2024-03-22 12:09:00,37.749,37.749,37.7,37.7,9957
2024-03-22 12:08:00,37.75,37.75,37.74,37.745,5132
2024-03-22 12:07:00,37.75,37.75,37.74,37.75,7697
2024-03-22 12:06:00,37.715,37.745,37.71,37.745,16126
2024-03-22 12:05:00,37.705,37.74,37.7,37.72,29519
2024-03-22 12:04:00,37.7,37.71,37.685,37.71,7927
2024-03-22 12:03:00,37.68,37.7,37.68,37.695,32143
2024-03-22 12:02:00,37.682,37.685,37.67,37.68,3941
2024-03-22 12:01:00,37.7,37.71,37.68,37.69,13430
2024-03-22 12:00:00,37.72,37.72,37.69,37.69,20865
2024-03-22 11:59:00,37.71,37.725,37.7,37.725,5701
2024-03-22 11:58:00,37.725,37.725,37.71,37.715,2952
2024-03-22 11:57:00,37.71,37.732,37.7,37.731,5019
2024-03-22 11:56:00,37.695,37.7,37.67,37.7,9521
2024-03-22 11:55:00,37.685,37.71,37.685,37.7,8939
2024-03-22 11:54:00,37.67,37.687,37.665,37.687,6160
2024-03-22 11:53:00,37.67,37.67,37.66,37.67,6495
2024-03-22 11:52:00,37.675,37.69,37.67,37.68,6316
2024-03-22 11:51:00,37.68,37.685,37.66,37.67,10009
2024-03-22 11:50:00,37.715,37.72,37.68,37.68,23961
2024-03-22 11:49:00,37.76,37.76,37.71,37.72,23528
2024-03-22 11:48:00,37.755,37.76,37.75,37.75,4755
2024-03-22 11:47:00,37.79,37.795,37.75,37.755,24671
2024-03-22 11:46:00,37.78,37.79,37.78,37.783,5707
2024-03-22 11:45:00,37.78,37.796,37.78,37.785,51810
2024-03-22 11:44:00,37.79,37.79,37.78,37.785,3535
2024-03-22 11:43:00,37.785,37.79,37.77,37.79,17520
2024-03-22 11:42:00,37.78,37.785,37.77,37.785,10726
2024-03-22 11:41:00,37.77,37.785,37.77,37.785,4345
2024-03-22 11:40:00,37.78,37.79,37.77,37.775,29234
2024-03-22 11:39:00,37.785,37.79,37.77,37.775,24547
2024-03-22 11:38:00,37.77,37.785,37.77,37.785,5507
2024-03-22 11:37:00,37.795,37.795,37.775,37.775,48818
2024-03-22 11:36:00,37.805,37.805,37.79,37.795,23018
