,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,168.67,168.74,168.6,168.63,77383
2024-03-22 15:58:00,168.725,168.78,168.66,168.685,62686
2024-03-22 15:57:00,168.75,168.8,168.713,168.74,30137
2024-03-22 15:56:00,168.71,168.81,168.68,168.76,21152
2024-03-22 15:55:00,168.76,168.77,168.67,168.7,26669
2024-03-22 15:54:00,168.72,168.91,168.72,168.741,22129
2024-03-22 15:53:00,168.75,168.765,168.71,168.71,10838
2024-03-22 15:52:00,168.7,168.75,168.69,168.74,18947
2024-03-22 15:51:00,168.78,168.8,168.69,168.7,21149
2024-03-22 15:50:00,168.76,168.89,168.75,168.77,12194
2024-03-22 15:49:00,168.66,168.825,168.65,168.74,8453
2024-03-22 15:48:00,168.52,168.66,168.49,168.66,15071
2024-03-22 15:47:00,168.67,168.67,168.55,168.55,21588
2024-03-22 15:46:00,168.75,168.75,168.67,168.67,6883
2024-03-22 15:45:00,168.69,168.755,168.67,168.75,9307
2024-03-22 15:44:00,168.695,168.72,168.665,168.671,5938
2024-03-22 15:43:00,168.79,168.8,168.685,168.691,9379
2024-03-22 15:42:00,168.87,168.87,168.8,168.8,4377
2024-03-22 15:41:00,168.86,168.86,168.841,168.86,3725
2024-03-22 15:40:00,168.85,168.87,168.83,168.86,3737
2024-03-22 15:39:00,168.915,168.915,168.831,168.835,4537
2024-03-22 15:38:00,169.0,169.0,168.894,168.894,6136
2024-03-22 15:37:00,169.01,169.02,169.0,169.02,2851
2024-03-22 15:36:00,168.975,169.04,168.961,169.01,10743
2024-03-22 15:35:00,168.945,168.975,168.945,168.973,1478
2024-03-22 15:34:00,168.89,168.94,168.85,168.94,7212
2024-03-22 15:33:00,168.86,168.885,168.83,168.885,7097
2024-03-22 15:32:00,168.9,168.9,168.855,168.89,5750
2024-03-22 15:31:00,168.88,168.935,168.88,168.925,2639
2024-03-22 15:30:00,168.805,168.87,168.805,168.86,2009
2024-03-22 15:29:00,168.75,168.81,168.75,168.8,4755
2024-03-22 15:28:00,168.8,168.8,168.73,168.731,5934
2024-03-22 15:27:00,168.78,168.78,168.73,168.75,7101
2024-03-22 15:26:00,168.749,168.77,168.749,168.77,2090
2024-03-22 15:25:00,168.84,168.84,168.735,168.735,6485
2024-03-22 15:24:00,168.87,168.88,168.835,168.88,1728
2024-03-22 15:23:00,168.92,168.96,168.816,168.84,5838
2024-03-22 15:22:00,168.86,168.92,168.85,168.912,7076
2024-03-22 15:21:00,168.845,168.86,168.845,168.86,814
2024-03-22 15:20:00,168.74,168.87,168.74,168.87,12465
2024-03-22 15:19:00,168.81,168.81,168.76,168.78,2243
2024-03-22 15:18:00,168.808,168.808,168.78,168.79,960
2024-03-22 15:17:00,168.79,168.8,168.75,168.8,3982
2024-03-22 15:16:00,168.85,168.85,168.785,168.785,6896
2024-03-22 15:15:00,168.79,168.815,168.79,168.815,1876
2024-03-22 15:14:00,168.66,168.797,168.66,168.75,12019
2024-03-22 15:13:00,168.71,168.71,168.685,168.685,1210
2024-03-22 15:12:00,168.68,168.715,168.65,168.68,7941
2024-03-22 15:11:00,168.69,168.695,168.67,168.67,1768
2024-03-22 15:10:00,168.708,168.72,168.708,168.72,2255
2024-03-22 15:09:00,168.8,168.84,168.7,168.71,10556
2024-03-22 15:08:00,168.89,168.89,168.79,168.83,8009
2024-03-22 15:07:00,168.92,168.92,168.895,168.895,3195
2024-03-22 15:06:00,168.96,168.96,168.9,168.922,2290
2024-03-22 15:05:00,168.93,168.93,168.93,168.93,313
2024-03-22 15:04:00,168.9,168.94,168.9,168.92,2428
2024-03-22 15:03:00,168.86,168.875,168.834,168.87,2295
2024-03-22 15:02:00,168.84,168.88,168.82,168.87,3027
2024-03-22 15:01:00,168.89,168.905,168.86,168.86,1506
2024-03-22 15:00:00,168.88,168.88,168.88,168.88,845
2024-03-22 14:59:00,168.84,168.88,168.835,168.88,1469
2024-03-22 14:58:00,168.82,168.82,168.81,168.82,2048
2024-03-22 14:57:00,168.863,168.863,168.835,168.835,777
2024-03-22 14:56:00,168.82,168.88,168.82,168.88,4711
2024-03-22 14:55:00,168.85,168.87,168.8,168.843,8667
2024-03-22 14:54:00,168.84,168.88,168.84,168.86,1162
2024-03-22 14:53:00,168.83,168.83,168.8,168.825,1935
2024-03-22 14:52:00,168.848,168.86,168.822,168.855,895
2024-03-22 14:51:00,168.655,168.83,168.655,168.83,8564
2024-03-22 14:50:00,168.65,168.7,168.65,168.66,4759
2024-03-22 14:49:00,168.67,168.7,168.65,168.655,2958
2024-03-22 14:48:00,168.62,168.63,168.6,168.605,2788
2024-03-22 14:47:00,168.65,168.69,168.54,168.62,6879
2024-03-22 14:46:00,168.78,168.78,168.66,168.66,5587
2024-03-22 14:45:00,168.725,168.76,168.722,168.74,2029
2024-03-22 14:44:00,168.77,168.78,168.72,168.73,3418
2024-03-22 14:43:00,168.78,168.78,168.75,168.765,2332
2024-03-22 14:42:00,168.84,168.84,168.79,168.805,2133
2024-03-22 14:41:00,168.86,168.9,168.86,168.9,583
2024-03-22 14:40:00,168.865,168.865,168.855,168.855,1071
2024-03-22 14:39:00,168.81,168.862,168.8,168.862,2392
2024-03-22 14:38:00,168.905,168.91,168.74,168.74,7676
2024-03-22 14:37:00,168.88,168.9,168.88,168.897,2924
2024-03-22 14:36:00,168.865,168.89,168.84,168.88,3047
2024-03-22 14:35:00,168.89,168.89,168.89,168.89,398
2024-03-22 14:34:00,168.85,168.88,168.845,168.87,1874
2024-03-22 14:33:00,168.9,168.9,168.85,168.85,1428
2024-03-22 14:32:00,169.0,169.01,168.88,168.91,3792
2024-03-22 14:31:00,168.96,169.0,168.96,169.0,1377
2024-03-22 14:30:00,168.99,169.01,168.96,168.99,2150
2024-03-22 14:29:00,168.992,169.0,168.992,169.0,646
2024-03-22 14:28:00,169.04,169.04,169.0,169.0,2348
2024-03-22 14:27:00,169.025,169.025,169.0,169.0,2587
2024-03-22 14:26:00,169.01,169.01,169.0,169.0,3243
2024-03-22 14:25:00,168.98,169.0,168.96,169.0,1798
2024-03-22 14:24:00,168.99,168.99,168.955,168.961,2449
2024-03-22 14:23:00,169.0,169.01,168.965,169.01,2251
2024-03-22 14:22:00,169.0,169.0,168.94,168.97,1878
2024-03-22 14:21:00,169.0,169.005,169.0,169.005,621
2024-03-22 14:20:00,169.01,169.01,169.0,169.0,984
2024-03-22 14:19:00,168.995,169.03,168.96,169.01,4086
2024-03-22 14:18:00,169.0,169.025,168.98,168.98,2440
2024-03-22 14:17:00,168.84,168.98,168.84,168.955,3117
2024-03-22 14:16:00,168.795,168.84,168.73,168.84,12983
2024-03-22 14:15:00,168.85,168.85,168.74,168.78,2196
2024-03-22 14:14:00,168.93,168.93,168.87,168.88,3622
2024-03-22 14:13:00,169.02,169.04,168.95,168.96,4236
2024-03-22 14:12:00,169.03,169.045,169.03,169.045,564
2024-03-22 14:11:00,169.07,169.09,169.03,169.05,3059
2024-03-22 14:10:00,169.05,169.05,169.05,169.05,606
2024-03-22 14:09:00,169.01,169.015,169.01,169.015,815
2024-03-22 14:08:00,169.0,169.01,169.0,169.01,1945
2024-03-22 14:07:00,168.98,168.98,168.968,168.968,1534
2024-03-22 14:06:00,168.96,168.96,168.95,168.95,727
2024-03-22 14:05:00,168.955,168.97,168.955,168.97,719
2024-03-22 14:04:00,168.91,168.96,168.879,168.96,3953
2024-03-22 14:03:00,168.985,168.985,168.91,168.91,5082
2024-03-22 14:02:00,169.0,169.0,168.967,168.967,3031
2024-03-22 14:01:00,169.01,169.019,169.0,169.019,1221
2024-03-22 14:00:00,168.96,169.01,168.96,169.01,2595
2024-03-22 13:59:00,168.99,169.0,168.97,168.98,1327
2024-03-22 13:58:00,168.96,168.99,168.955,168.98,2176
2024-03-22 13:57:00,168.92,168.95,168.92,168.945,2194
2024-03-22 13:56:00,168.925,168.94,168.925,168.94,1173
2024-03-22 13:55:00,168.88,168.92,168.87,168.92,7624
2024-03-22 13:53:00,168.896,168.94,168.865,168.905,2562
2024-03-22 13:52:00,168.85,168.898,168.85,168.86,2840
2024-03-22 13:51:00,168.76,168.8,168.76,168.785,1999
2024-03-22 13:50:00,168.78,168.81,168.77,168.775,3799
