,1. open,2. high,3. low,4. close,5. volume
2013-01-31 15:59:00,19.446,19.476,19.396,19.422,541024
2013-01-31 15:58:00,19.472,19.502,19.418,19.439,169546
2013-01-31 15:57:00,19.485,19.515,19.431,19.465,202698
2013-01-31 15:56:00,19.468,19.515,19.439,19.478,114158
2013-01-31 15:55:00,19.472,19.502,19.405,19.461,393854
2013-01-31 15:54:00,19.472,19.511,19.443,19.465,164768
2013-01-31 15:53:00,19.479,19.511,19.443,19.465,83432
2013-01-31 15:52:00,19.481,19.511,19.443,19.47,89786
2013-01-31 15:51:00,19.481,19.511,19.452,19.474,46700
2013-01-31 15:50:00,19.481,19.511,19.452,19.478,30614
2013-01-31 15:49:00,19.489,19.519,19.448,19.474,54550
2013-01-31 15:48:00,19.489,19.519,19.461,19.482,24400
2013-01-31 15:47:00,19.494,19.523,19.461,19.482,37134
2013-01-31 15:46:00,19.494,19.523,19.456,19.487,51682
2013-01-31 15:45:00,19.477,19.528,19.448,19.487,115982
2013-01-31 15:44:00,19.485,19.515,19.448,19.474,35830
2013-01-31 15:43:00,19.498,19.523,19.456,19.478,62270
2013-01-31 15:42:00,19.515,19.545,19.465,19.487,133380
2013-01-31 15:41:00,19.515,19.545,19.486,19.512,14638
2013-01-31 15:40:00,19.517,19.545,19.486,19.508,16208
2013-01-31 15:39:00,19.515,19.545,19.486,19.513,19414
2013-01-31 15:38:00,19.515,19.545,19.486,19.512,20648
2013-01-31 15:37:00,19.515,19.545,19.486,19.508,13500
2013-01-31 15:36:00,19.515,19.545,19.486,19.508,9556
2013-01-31 15:35:00,19.517,19.549,19.486,19.513,50098
2013-01-31 15:34:00,19.515,19.545,19.482,19.51,34888
2013-01-31 15:33:00,19.513,19.541,19.482,19.506,26068
2013-01-31 15:32:00,19.515,19.541,19.482,19.506,16214
2013-01-31 15:31:00,19.489,19.541,19.461,19.506,78582
2013-01-31 15:30:00,19.494,19.521,19.461,19.486,28846
2013-01-31 15:29:00,19.507,19.532,19.465,19.489,30010
2013-01-31 15:28:00,19.511,19.541,19.478,19.5,17690
2013-01-31 15:27:00,19.494,19.541,19.465,19.504,27032
2013-01-31 15:26:00,19.515,19.543,19.465,19.487,11136
2013-01-31 15:25:00,19.524,19.554,19.486,19.508,28176
2013-01-31 15:24:00,19.524,19.554,19.495,19.521,1400
2013-01-31 15:23:00,19.524,19.554,19.491,19.517,28968
2013-01-31 15:22:00,19.528,19.554,19.495,19.519,15746
2013-01-31 15:21:00,19.52,19.557,19.486,19.521,41080
2013-01-31 15:20:00,19.522,19.549,19.491,19.517,23902
2013-01-31 15:19:00,19.515,19.547,19.484,19.515,15436
2013-01-31 15:18:00,19.502,19.541,19.469,19.506,40044
2013-01-31 15:17:00,19.494,19.528,19.465,19.493,15412
2013-01-31 15:16:00,19.496,19.523,19.465,19.491,5782
2013-01-31 15:15:00,19.489,19.523,19.458,19.489,29744
2013-01-31 15:14:00,19.502,19.529,19.461,19.482,16800
2013-01-31 15:13:00,19.502,19.532,19.474,19.5,7200
2013-01-31 15:12:00,19.515,19.541,19.474,19.495,16142
2013-01-31 15:11:00,19.516,19.545,19.486,19.508,8786
2013-01-31 15:10:00,19.515,19.545,19.486,19.513,9736
2013-01-31 15:09:00,19.52,19.549,19.486,19.508,21202
2013-01-31 15:08:00,19.524,19.554,19.491,19.513,4600
2013-01-31 15:07:00,19.528,19.558,19.495,19.517,4260
2013-01-31 15:06:00,19.537,19.562,19.499,19.521,6440
2013-01-31 15:05:00,19.541,19.566,19.501,19.525,28588
2013-01-31 15:04:00,19.545,19.575,19.512,19.534,20188
2013-01-31 15:03:00,19.558,19.584,19.516,19.538,31118
2013-01-31 15:02:00,19.563,19.588,19.525,19.547,13480
2013-01-31 15:01:00,19.552,19.588,19.521,19.556,24880
2013-01-31 15:00:00,19.567,19.592,19.519,19.543,46562
2013-01-31 14:59:00,19.567,19.597,19.538,19.56,6198
2013-01-31 14:58:00,19.569,19.597,19.538,19.56,3970
2013-01-31 14:57:00,19.571,19.597,19.538,19.56,12200
2013-01-31 14:56:00,19.569,19.597,19.54,19.562,7400
2013-01-31 14:55:00,19.567,19.597,19.538,19.562,10698
2013-01-31 14:54:00,19.571,19.597,19.538,19.562,5584
2013-01-31 14:53:00,19.567,19.601,19.538,19.566,22804
2013-01-31 14:52:00,19.571,19.597,19.538,19.56,4468
2013-01-31 14:51:00,19.567,19.597,19.538,19.564,1200
2013-01-31 14:50:00,19.571,19.597,19.534,19.56,51878
2013-01-31 14:49:00,19.569,19.597,19.538,19.562,8800
