,1. open,2. high,3. low,4. close,5. volume
2015-07-31 15:59:00,136.129,136.254,136.039,136.157,28716
2015-07-31 15:58:00,136.08,136.162,136.01,136.108,10912
2015-07-31 15:57:00,136.031,136.117,135.99,136.079,5834
2015-07-31 15:56:00,136.09,136.127,135.956,136.04,4831
2015-07-31 15:55:00,136.08,136.137,135.961,136.079,11753
2015-07-31 15:54:00,136.002,136.108,135.951,136.079,5316
2015-07-31 15:53:00,135.963,136.039,135.917,136.011,3688
2015-07-31 15:52:00,136.012,136.039,135.922,135.962,3152
2015-07-31 15:51:00,135.963,136.049,135.922,136.001,4177
2015-07-31 15:50:00,136.031,136.059,135.912,135.952,5330
2015-07-31 15:49:00,136.031,136.078,135.981,136.05,2800
2015-07-31 15:48:00,135.983,136.069,135.942,136.04,4355
2015-07-31 15:47:00,136.051,136.088,135.951,135.991,1700
2015-07-31 15:46:00,136.09,136.122,136.02,136.06,2888
2015-07-31 15:45:00,136.119,136.156,135.961,136.089,15465
2015-07-31 15:44:00,136.178,136.244,136.098,136.147,4647
2015-07-31 15:43:00,136.148,136.205,136.088,136.167,1806
2015-07-31 15:42:00,136.163,136.225,136.108,136.157,2250
2015-07-31 15:41:00,136.246,136.273,136.117,136.157,1300
2015-07-31 15:40:00,136.217,136.264,136.166,136.225,2107
2015-07-31 15:39:00,136.178,136.244,136.127,136.216,2300
2015-07-31 15:38:00,136.246,136.273,136.142,136.182,1900
2015-07-31 15:37:00,136.275,136.303,136.215,136.264,903
2015-07-31 15:36:00,136.334,136.381,136.273,136.313,1600
2015-07-31 15:35:00,136.305,136.43,136.264,136.333,5800
2015-07-31 15:34:00,136.285,136.352,136.225,136.303,5870
2015-07-31 15:33:00,136.168,136.303,136.117,136.274,5378
2015-07-31 15:32:00,136.158,136.195,136.108,136.147,3094
2015-07-31 15:31:00,136.129,136.195,136.088,136.147,2800
2015-07-31 15:30:00,136.109,136.186,136.069,136.128,4200
2015-07-31 15:29:00,136.066,136.137,136.025,136.099,3402
2015-07-31 15:28:00,136.012,136.117,135.971,136.079,2600
2015-07-31 15:27:00,136.1,136.156,135.971,136.03,21268
2015-07-31 15:26:00,136.139,136.186,136.059,136.118,3684
2015-07-31 15:25:00,136.129,136.166,136.078,136.138,2200
2015-07-31 15:24:00,136.1,136.166,136.049,136.128,4548
2015-07-31 15:23:00,136.119,136.176,136.078,136.138,1800
2015-07-31 15:22:00,136.09,136.137,136.049,136.108,4810
2015-07-31 15:21:00,136.197,136.225,136.049,136.089,5275
2015-07-31 15:20:00,136.148,136.234,136.059,136.206,15992
2015-07-31 15:19:00,136.08,136.166,136.039,136.138,700
2015-07-31 15:18:00,136.031,136.098,135.99,136.069,2200
2015-07-31 15:17:00,136.08,136.108,136.01,136.05,2913
2015-07-31 15:16:00,136.022,136.117,135.961,136.074,3321
2015-07-31 15:15:00,136.031,136.064,135.99,136.03,1908
2015-07-31 15:14:00,136.041,136.069,135.971,136.03,1751
2015-07-31 15:13:00,136.061,136.137,136.01,136.074,3405
2015-07-31 15:12:00,136.061,136.088,136.0,136.06,916
2015-07-31 15:11:00,136.061,136.117,136.01,136.069,1992
2015-07-31 15:10:00,136.08,136.117,136.03,136.089,1800
2015-07-31 15:09:00,136.129,136.156,136.039,136.079,3158
2015-07-31 15:08:00,136.08,136.186,136.039,136.157,2146
2015-07-31 15:07:00,136.061,136.166,136.01,136.05,11210
2015-07-31 15:06:00,136.105,136.132,136.015,136.069,3524
2015-07-31 15:05:00,136.12,136.156,136.069,136.108,1509
2015-07-31 15:04:00,136.129,136.186,136.088,136.138,900
2015-07-31 15:03:00,136.137,136.166,136.088,136.128,850
2015-07-31 15:02:00,136.187,136.215,136.108,136.147,1785
2015-07-31 15:01:00,136.168,136.225,136.117,136.191,1728
2015-07-31 15:00:00,136.119,136.234,136.078,136.177,2967
2015-07-31 14:59:00,136.139,136.176,136.098,136.138,552
2015-07-31 14:58:00,136.129,136.291,136.088,136.138,12574
2015-07-31 14:57:00,136.129,136.166,136.078,136.118,5378
2015-07-31 14:56:00,136.139,136.166,136.098,136.138,100
2015-07-31 14:55:00,136.129,136.166,136.088,136.138,787
2015-07-31 14:54:00,136.119,136.147,136.059,136.118,1650
2015-07-31 14:53:00,136.129,136.186,136.088,136.128,1002
2015-07-31 14:52:00,136.177,136.205,136.098,136.152,1553
2015-07-31 14:51:00,136.08,136.176,136.01,136.147,2224
2015-07-31 14:50:00,135.973,136.127,135.932,136.079,1800
2015-07-31 14:49:00,136.03,136.057,135.92,135.972,3914
2015-07-31 14:48:00,135.924,136.049,135.883,136.021,800
2015-07-31 14:47:00,135.992,136.02,135.834,135.913,3046
2015-07-31 14:46:00,135.992,136.02,135.951,135.991,527
2015-07-31 14:45:00,136.022,136.049,135.971,136.021,973
