,1. open,2. high,3. low,4. close,5. volume
2013-01-31 15:59:00,31.265,31.275,31.24,31.25,19008
2013-01-31 15:58:00,31.29,31.295,31.26,31.26,12200
2013-01-31 15:57:00,31.285,31.295,31.285,31.288,2800
2013-01-31 15:56:00,31.26,31.295,31.26,31.295,8754
2013-01-31 15:55:00,31.25,31.265,31.245,31.265,9580
2013-01-31 15:54:00,31.24,31.25,31.235,31.245,11722
2013-01-31 15:53:00,31.23,31.24,31.225,31.238,5678
2013-01-31 15:52:00,31.23,31.235,31.225,31.225,10400
2013-01-31 15:51:00,31.225,31.235,31.22,31.23,6432
2013-01-31 15:50:00,31.225,31.225,31.215,31.22,7032
2013-01-31 15:49:00,31.235,31.24,31.225,31.23,16640
2013-01-31 15:48:00,31.24,31.24,31.235,31.235,600
2013-01-31 15:47:00,31.23,31.245,31.23,31.235,5102
2013-01-31 15:46:00,31.245,31.245,31.225,31.23,13858
2013-01-31 15:45:00,31.235,31.245,31.235,31.24,1800
2013-01-31 15:44:00,31.235,31.24,31.23,31.235,4000
2013-01-31 15:43:00,31.25,31.25,31.24,31.245,20424
2013-01-31 15:42:00,31.25,31.25,31.24,31.25,2400
2013-01-31 15:41:00,31.25,31.25,31.24,31.245,1400
2013-01-31 15:40:00,31.235,31.245,31.235,31.245,2000
2013-01-31 15:39:00,31.235,31.245,31.235,31.24,1200
2013-01-31 15:38:00,31.25,31.25,31.225,31.24,11324
2013-01-31 15:37:00,31.25,31.25,31.245,31.25,7488
2013-01-31 15:36:00,31.245,31.25,31.245,31.25,1200
2013-01-31 15:35:00,31.25,31.25,31.245,31.245,15146
2013-01-31 15:34:00,31.245,31.25,31.245,31.245,17200
2013-01-31 15:33:00,31.25,31.25,31.245,31.245,8200
2013-01-31 15:32:00,31.25,31.25,31.245,31.25,6594
2013-01-31 15:31:00,31.25,31.25,31.25,31.25,10174
2013-01-31 15:30:00,31.245,31.245,31.245,31.245,3000
2013-01-31 15:29:00,31.25,31.25,31.25,31.25,1000
2013-01-31 15:28:00,31.25,31.25,31.25,31.25,200
2013-01-31 15:27:00,31.235,31.25,31.235,31.245,2400
2013-01-31 15:26:00,31.24,31.24,31.225,31.23,1800
2013-01-31 15:25:00,31.235,31.235,31.235,31.235,1352
2013-01-31 15:24:00,31.25,31.25,31.24,31.24,6600
2013-01-31 15:23:00,31.245,31.25,31.245,31.25,1800
2013-01-31 15:22:00,31.25,31.25,31.25,31.25,200
2013-01-31 15:21:00,31.245,31.25,31.245,31.25,800
2013-01-31 15:20:00,31.245,31.25,31.245,31.25,3000
2013-01-31 15:19:00,31.245,31.246,31.245,31.245,2000
2013-01-31 15:18:00,31.25,31.25,31.245,31.25,4600
2013-01-31 15:17:00,31.245,31.25,31.245,31.25,4600
2013-01-31 15:16:00,31.245,31.245,31.24,31.245,3176
2013-01-31 15:15:00,31.24,31.24,31.235,31.235,400
2013-01-31 15:14:00,31.24,31.24,31.24,31.24,3800
2013-01-31 15:13:00,31.25,31.25,31.24,31.24,2200
2013-01-31 15:12:00,31.248,31.25,31.245,31.25,5380
2013-01-31 15:11:00,31.25,31.25,31.25,31.25,7400
2013-01-31 15:10:00,31.25,31.25,31.245,31.25,6476
2013-01-31 15:09:00,31.25,31.25,31.25,31.25,2600
2013-01-31 15:08:00,31.25,31.255,31.25,31.25,4280
2013-01-31 15:07:00,31.26,31.26,31.253,31.252,2200
2013-01-31 15:06:00,31.25,31.26,31.25,31.26,2200
2013-01-31 15:05:00,31.23,31.24,31.228,31.24,28416
2013-01-31 15:04:00,31.25,31.252,31.23,31.23,6400
2013-01-31 15:03:00,31.255,31.255,31.255,31.255,6000
2013-01-31 15:02:00,31.24,31.25,31.24,31.25,1600
2013-01-31 15:01:00,31.235,31.24,31.235,31.24,1000
2013-01-31 15:00:00,31.24,31.25,31.235,31.235,12242
2013-01-31 14:59:00,31.25,31.25,31.235,31.25,8376
2013-01-31 14:58:00,31.255,31.255,31.255,31.254,600
2013-01-31 14:57:00,31.255,31.255,31.255,31.255,1200
2013-01-31 14:56:00,31.255,31.255,31.255,31.255,1136
2013-01-31 14:55:00,31.25,31.25,31.25,31.25,600
2013-01-31 14:53:00,31.25,31.25,31.25,31.25,200
2013-01-31 14:52:00,31.25,31.25,31.245,31.245,5828
2013-01-31 14:51:00,31.25,31.25,31.25,31.25,1000
2013-01-31 14:50:00,31.245,31.25,31.245,31.25,1400
2013-01-31 14:49:00,31.24,31.25,31.24,31.25,1400
2013-01-31 14:48:00,31.24,31.24,31.24,31.24,600
2013-01-31 14:47:00,31.245,31.245,31.24,31.24,9200
2013-01-31 14:46:00,31.244,31.245,31.245,31.244,2040
2013-01-31 14:45:00,31.245,31.245,31.245,31.245,1200
2013-01-31 14:44:00,31.245,31.245,31.24,31.245,1638
2013-01-31 14:43:00,31.245,31.245,31.241,31.245,3000
2013-01-31 14:42:00,31.245,31.245,31.245,31.245,936
2013-01-31 14:41:00,31.245,31.245,31.24,31.24,2000
2013-01-31 14:40:00,31.245,31.245,31.24,31.24,8572
2013-01-31 14:39:00,31.245,31.245,31.24,31.24,2200
2013-01-31 14:38:00,31.245,31.245,31.245,31.245,200
2013-01-31 14:37:00,31.236,31.236,31.236,31.236,200
2013-01-31 14:36:00,31.24,31.24,31.24,31.24,1400
2013-01-31 14:35:00,31.245,31.245,31.24,31.24,10000
2013-01-31 14:34:00,31.245,31.245,31.24,31.24,400
2013-01-31 14:33:00,31.245,31.245,31.239,31.244,11120
2013-01-31 14:32:00,31.24,31.245,31.24,31.245,4200
2013-01-31 14:31:00,31.24,31.24,31.24,31.24,200
2013-01-31 14:30:00,31.24,31.24,31.23,31.23,3200
2013-01-31 14:29:00,31.24,31.24,31.24,31.24,800
2013-01-31 14:28:00,31.235,31.24,31.235,31.24,1600
2013-01-31 14:27:00,31.245,31.245,31.235,31.24,2400
2013-01-31 14:26:00,31.24,31.24,31.24,31.24,2200
2013-01-31 14:25:00,31.24,31.24,31.23,31.24,8000
2013-01-31 14:24:00,31.245,31.245,31.24,31.24,7000
2013-01-31 14:23:00,31.24,31.245,31.235,31.244,7000
2013-01-31 14:21:00,31.24,31.245,31.24,31.245,1800
2013-01-31 14:20:00,31.255,31.255,31.245,31.245,13614
2013-01-31 14:19:00,31.265,31.265,31.26,31.26,2000
2013-01-31 14:18:00,31.275,31.277,31.27,31.275,3660
2013-01-31 14:17:00,31.285,31.285,31.28,31.28,10400
2013-01-31 14:16:00,31.29,31.292,31.286,31.285,2800
2013-01-31 14:15:00,31.29,31.29,31.285,31.285,600
2013-01-31 14:14:00,31.29,31.29,31.29,31.29,2000
2013-01-31 14:13:00,31.285,31.285,31.28,31.285,5192
2013-01-31 14:12:00,31.29,31.29,31.285,31.285,2000
2013-01-31 14:11:00,31.29,31.295,31.29,31.295,1652
2013-01-31 14:10:00,31.285,31.29,31.285,31.287,3400
2013-01-31 14:09:00,31.29,31.29,31.29,31.29,200
2013-01-31 14:08:00,31.285,31.29,31.285,31.285,2040
2013-01-31 14:06:00,31.285,31.29,31.28,31.29,3600
2013-01-31 14:05:00,31.295,31.3,31.285,31.285,5800
2013-01-31 14:04:00,31.295,31.3,31.295,31.295,5800
2013-01-31 14:03:00,31.295,31.295,31.295,31.295,600
2013-01-31 14:02:00,31.295,31.295,31.295,31.295,200
2013-01-31 14:00:00,31.295,31.295,31.295,31.295,600
2013-01-31 13:57:00,31.295,31.295,31.285,31.285,1400
2013-01-31 13:56:00,31.295,31.295,31.29,31.295,2400
2013-01-31 13:55:00,31.295,31.295,31.29,31.29,6200
2013-01-31 13:54:00,31.295,31.295,31.295,31.295,600
2013-01-31 13:53:00,31.295,31.295,31.295,31.295,300
2013-01-31 13:52:00,31.295,31.295,31.29,31.29,600
2013-01-31 13:50:00,31.295,31.295,31.295,31.295,200
2013-01-31 13:49:00,31.28,31.285,31.275,31.275,1200
2013-01-31 13:48:00,31.285,31.287,31.28,31.28,1600
2013-01-31 13:47:00,31.285,31.29,31.285,31.29,400
2013-01-31 13:46:00,31.285,31.285,31.285,31.285,200
2013-01-31 13:45:00,31.29,31.29,31.29,31.29,200
2013-01-31 13:44:00,31.285,31.285,31.285,31.285,1000
2013-01-31 13:43:00,31.285,31.285,31.28,31.285,2600
2013-01-31 13:42:00,31.285,31.285,31.285,31.285,1200
2013-01-31 13:41:00,31.28,31.285,31.28,31.285,4162
2013-01-31 13:40:00,31.285,31.285,31.285,31.285,200
2013-01-31 13:38:00,31.285,31.285,31.28,31.28,1200
2013-01-31 13:37:00,31.28,31.28,31.28,31.28,652
2013-01-31 13:36:00,31.273,31.273,31.273,31.273,1316
2013-01-31 13:35:00,31.28,31.28,31.28,31.28,200
2013-01-31 13:34:00,31.27,31.27,31.27,31.27,400
2013-01-31 13:33:00,31.28,31.28,31.28,31.28,600
2013-01-31 13:32:00,31.275,31.285,31.275,31.285,1800
2013-01-31 13:31:00,31.278,31.28,31.279,31.28,622
2013-01-31 13:29:00,31.265,31.27,31.255,31.27,3446
2013-01-31 13:28:00,31.265,31.27,31.265,31.265,5890
2013-01-31 13:27:00,31.28,31.28,31.27,31.27,1200
2013-01-31 13:26:00,31.275,31.275,31.275,31.275,200
2013-01-31 13:23:00,31.284,31.284,31.275,31.275,3600
2013-01-31 13:22:00,31.28,31.28,31.278,31.278,1200
2013-01-31 13:21:00,31.275,31.275,31.275,31.275,200
2013-01-31 13:20:00,31.28,31.28,31.28,31.28,200
2013-01-31 13:19:00,31.28,31.28,31.28,31.28,200
2013-01-31 13:17:00,31.285,31.285,31.285,31.285,200
2013-01-31 13:16:00,31.28,31.285,31.28,31.28,1000
2013-01-31 13:14:00,31.285,31.285,31.275,31.285,1600
2013-01-31 13:13:00,31.27,31.285,31.27,31.285,800
2013-01-31 13:12:00,31.28,31.28,31.28,31.28,200
2013-01-31 13:11:00,31.275,31.275,31.275,31.275,600
2013-01-31 13:10:00,31.27,31.27,31.26,31.26,600
2013-01-31 13:09:00,31.265,31.265,31.265,31.265,400
2013-01-31 13:08:00,31.265,31.27,31.265,31.27,536
2013-01-31 13:05:00,31.265,31.265,31.265,31.265,2000
2013-01-31 13:04:00,31.275,31.275,31.275,31.275,200
2013-01-31 13:03:00,31.279,31.279,31.265,31.265,2200
2013-01-31 13:02:00,31.265,31.275,31.265,31.275,400
2013-01-31 13:01:00,31.272,31.272,31.265,31.265,700
2013-01-31 12:58:00,31.27,31.27,31.27,31.27,400
2013-01-31 12:57:00,31.278,31.28,31.275,31.275,1002
2013-01-31 12:56:00,31.275,31.275,31.275,31.275,1400
2013-01-31 12:55:00,31.275,31.28,31.275,31.28,2000
2013-01-31 12:54:00,31.275,31.282,31.275,31.282,1800
2013-01-31 12:53:00,31.278,31.278,31.275,31.275,1200
2013-01-31 12:52:00,31.275,31.275,31.275,31.275,2800
2013-01-31 12:51:00,31.285,31.285,31.28,31.28,3400
2013-01-31 12:50:00,31.285,31.285,31.285,31.285,1400
2013-01-31 12:49:00,31.285,31.285,31.28,31.285,6800
2013-01-31 12:48:00,31.285,31.295,31.28,31.285,16800
2013-01-31 12:47:00,31.285,31.285,31.28,31.285,1200
2013-01-31 12:46:00,31.285,31.285,31.285,31.285,600
2013-01-31 12:45:00,31.285,31.287,31.275,31.285,15218
2013-01-31 12:44:00,31.28,31.285,31.28,31.285,1252
2013-01-31 12:42:00,31.285,31.285,31.285,31.285,200
