,1. open,2. high,3. low,4. close,5. volume
2022-10-31 15:59:00,227.66,227.75,227.27,227.55,462938
2022-10-31 15:58:00,227.56,227.789,227.48,227.66,207503
2022-10-31 15:57:00,227.32,227.755,227.3,227.57,189176
2022-10-31 15:56:00,227.7,227.725,227.251,227.33,236505
2022-10-31 15:55:00,227.94,227.95,227.5,227.69,179642
2022-10-31 15:54:00,227.89,228.02,227.73,227.9,103073
2022-10-31 15:53:00,228.16,228.23,227.886,227.91,107012
2022-10-31 15:52:00,227.86,228.23,227.82,228.175,120985
2022-10-31 15:51:00,227.93,227.95,227.7,227.88,87219
2022-10-31 15:50:00,227.97,228.0,227.46,227.945,171489
2022-10-31 15:49:00,228.265,228.265,227.87,227.97,123790
2022-10-31 15:48:00,228.65,228.65,228.22,228.262,107865
2022-10-31 15:47:00,228.65,228.749,228.4,228.64,98175
2022-10-31 15:46:00,228.59,228.7,228.49,228.648,83124
2022-10-31 15:45:00,228.72,228.78,228.566,228.595,93425
2022-10-31 15:44:00,228.63,228.79,228.6,228.739,87049
2022-10-31 15:43:00,228.611,228.72,228.515,228.64,53971
2022-10-31 15:42:00,228.62,228.67,228.44,228.62,60052
2022-10-31 15:41:00,228.44,228.65,228.425,228.623,56560
2022-10-31 15:40:00,228.534,228.66,228.43,228.45,64647
2022-10-31 15:39:00,228.475,228.61,228.341,228.53,71817
2022-10-31 15:38:00,228.59,228.618,228.404,228.47,56730
2022-10-31 15:37:00,228.52,228.74,228.47,228.58,74613
2022-10-31 15:36:00,228.44,228.65,228.37,228.5,79259
2022-10-31 15:35:00,228.49,228.55,228.4,228.42,42114
2022-10-31 15:34:00,228.595,228.595,228.36,228.5,70641
2022-10-31 15:33:00,228.515,228.6,228.4,228.589,88436
2022-10-31 15:32:00,228.19,228.628,228.16,228.51,136544
2022-10-31 15:31:00,228.05,228.24,227.965,228.2,105467
2022-10-31 15:30:00,227.97,228.029,227.82,228.02,56525
2022-10-31 15:29:00,228.04,228.14,227.985,228.01,45810
2022-10-31 15:28:00,228.17,228.29,227.97,228.04,66363
2022-10-31 15:27:00,228.1,228.33,228.09,228.16,91238
2022-10-31 15:26:00,228.1,228.23,228.01,228.12,64845
2022-10-31 15:25:00,228.0,228.129,227.97,228.129,48403
2022-10-31 15:24:00,228.116,228.12,227.91,227.994,64129
2022-10-31 15:23:00,228.285,228.37,228.05,228.12,94124
2022-10-31 15:22:00,228.045,228.328,228.01,228.281,98604
2022-10-31 15:21:00,227.77,228.17,227.76,228.06,114060
2022-10-31 15:20:00,227.86,227.909,227.617,227.765,66851
2022-10-31 15:19:00,227.78,228.0,227.694,227.869,91903
2022-10-31 15:18:00,227.63,227.79,227.55,227.75,71057
2022-10-31 15:17:00,227.615,227.78,227.55,227.632,40560
2022-10-31 15:16:00,227.73,227.9,227.64,227.64,63513
2022-10-31 15:15:00,227.76,227.92,227.561,227.71,64612
2022-10-31 15:14:00,227.94,227.94,227.62,227.769,57794
2022-10-31 15:13:00,227.98,228.02,227.73,227.93,95848
2022-10-31 15:12:00,227.87,228.02,227.839,227.96,61442
2022-10-31 15:11:00,227.86,227.92,227.67,227.875,62643
2022-10-31 15:10:00,227.466,227.863,227.42,227.85,101902
2022-10-31 15:09:00,227.807,227.82,227.37,227.46,158248
2022-10-31 15:08:00,228.015,228.04,227.8,227.84,44546
2022-10-31 15:07:00,228.0,228.05,227.76,228.03,105808
2022-10-31 15:06:00,227.967,228.2,227.942,228.001,102360
2022-10-31 15:05:00,227.75,228.18,227.72,227.96,117874
2022-10-31 15:04:00,227.81,228.0,227.75,227.77,92174
2022-10-31 15:03:00,227.905,228.0,227.75,227.83,112476
2022-10-31 15:02:00,228.21,228.425,227.906,227.906,141403
2022-10-31 15:01:00,228.275,228.45,228.11,228.21,98560
2022-10-31 15:00:00,228.72,228.77,228.22,228.27,128590
2022-10-31 14:59:00,228.894,228.92,228.45,228.7,155653
2022-10-31 14:58:00,228.925,229.137,228.87,228.887,91754
2022-10-31 14:57:00,229.55,229.55,228.84,228.925,147515
2022-10-31 14:56:00,229.615,229.78,229.55,229.56,102162
2022-10-31 14:55:00,229.56,229.75,229.53,229.61,71623
2022-10-31 14:54:00,229.47,229.63,229.47,229.56,33810
2022-10-31 14:53:00,229.66,229.665,229.47,229.5,35004
2022-10-31 14:52:00,229.38,229.79,229.34,229.646,110625
2022-10-31 14:51:00,229.23,229.4,229.2,229.36,72283
2022-10-31 14:50:00,229.35,229.405,229.25,229.25,31905
2022-10-31 14:49:00,229.465,229.49,229.25,229.34,76512
2022-10-31 14:48:00,229.725,229.76,229.403,229.475,129745
2022-10-31 14:47:00,229.68,229.85,229.59,229.74,147004
2022-10-31 14:46:00,229.51,229.68,229.43,229.655,81745
2022-10-31 14:45:00,229.25,229.55,229.18,229.511,106638
2022-10-31 14:44:00,229.15,229.3,229.03,229.275,70102
2022-10-31 14:43:00,229.24,229.25,229.03,229.15,93253
2022-10-31 14:42:00,229.4,229.413,229.25,229.268,39497
2022-10-31 14:41:00,229.36,229.43,229.25,229.401,45604
2022-10-31 14:40:00,229.477,229.48,229.13,229.35,81632
2022-10-31 14:39:00,229.617,229.64,229.41,229.47,66784
2022-10-31 14:38:00,229.45,229.74,229.43,229.64,104998
2022-10-31 14:37:00,229.36,229.65,229.27,229.473,128266
2022-10-31 14:36:00,229.1,229.5,229.03,229.35,153499
2022-10-31 14:35:00,229.19,229.19,228.9,229.114,71571
2022-10-31 14:34:00,229.13,229.31,229.03,229.22,83422
2022-10-31 14:33:00,229.249,229.412,229.12,229.13,104165
2022-10-31 14:32:00,229.14,229.25,229.02,229.237,68455
2022-10-31 14:31:00,228.99,229.2,228.876,229.14,73900
2022-10-31 14:30:00,228.945,229.03,228.7,228.967,53712
2022-10-31 14:29:00,229.1,229.1,228.87,228.93,46291
2022-10-31 14:28:00,229.202,229.26,228.92,229.11,59399
2022-10-31 14:27:00,229.063,229.249,228.98,229.21,104115
2022-10-31 14:26:00,228.905,229.08,228.67,229.08,70745
2022-10-31 14:25:00,228.6,228.99,228.54,228.916,94166
2022-10-31 14:24:00,228.635,228.729,228.43,228.589,54208
2022-10-31 14:23:00,228.63,228.73,228.6,228.625,39900
2022-10-31 14:22:00,228.676,228.78,228.49,228.628,55952
2022-10-31 14:21:00,228.655,228.758,228.555,228.67,72591
