,1. open,2. high,3. low,4. close,5. volume
2013-12-31 15:59:00,51.276,51.438,51.172,51.355,16031
2013-12-31 15:58:00,51.285,51.397,51.155,51.288,8238
2013-12-31 15:57:00,51.335,51.447,51.172,51.297,11179
2013-12-31 15:56:00,51.351,51.459,51.23,51.355,3852
2013-12-31 15:55:00,51.343,51.472,51.239,51.364,3178
2013-12-31 15:54:00,51.376,51.48,51.239,51.364,4247
2013-12-31 15:53:00,51.376,51.48,51.272,51.397,6520
2013-12-31 15:52:00,51.368,51.488,51.255,51.397,13344
2013-12-31 15:51:00,51.36,51.488,51.255,51.397,7822
2013-12-31 15:50:00,51.318,51.463,51.214,51.38,8666
2013-12-31 15:49:00,51.318,51.43,51.205,51.33,10049
2013-12-31 15:48:00,51.318,51.43,51.214,51.339,36793
2013-12-31 15:47:00,51.326,51.43,51.214,51.347,24096
2013-12-31 15:46:00,51.322,51.43,51.214,51.343,11383
2013-12-31 15:45:00,51.31,51.43,51.205,51.347,13023
2013-12-31 15:44:00,51.318,51.43,51.206,51.347,5597
2013-12-31 15:43:00,51.31,51.422,51.205,51.339,2119
2013-12-31 15:42:00,51.293,51.422,51.189,51.339,7000
2013-12-31 15:41:00,51.293,51.405,51.18,51.313,4400
2013-12-31 15:40:00,51.31,51.413,51.189,51.313,2920
2013-12-31 15:39:00,51.318,51.422,51.205,51.33,4100
2013-12-31 15:38:00,51.31,51.422,51.201,51.339,3000
2013-12-31 15:37:00,51.31,51.413,51.205,51.33,100
2013-12-31 15:36:00,51.31,51.422,51.197,51.322,3100
2013-12-31 15:35:00,51.318,51.422,51.205,51.33,1700
2013-12-31 15:34:00,51.31,51.422,51.197,51.339,6983
2013-12-31 15:33:00,51.326,51.43,51.197,51.33,3490
2013-12-31 15:32:00,51.31,51.422,51.205,51.339,1000
2013-12-31 15:31:00,51.326,51.43,51.205,51.339,4700
2013-12-31 15:30:00,51.293,51.43,51.184,51.343,4671
2013-12-31 15:29:00,51.285,51.388,51.18,51.305,1009
2013-12-31 15:28:00,51.285,51.392,51.172,51.297,2200
2013-12-31 15:27:00,51.293,51.397,51.18,51.313,300
2013-12-31 15:26:00,51.293,51.397,51.189,51.313,671
2013-12-31 15:25:00,51.276,51.397,51.172,51.313,700
2013-12-31 15:24:00,51.26,51.388,51.155,51.305,1800
2013-12-31 15:23:00,51.235,51.355,51.13,51.272,1568
2013-12-31 15:22:00,51.218,51.338,51.114,51.255,724
2013-12-31 15:21:00,51.218,51.321,51.114,51.238,400
2013-12-31 15:20:00,51.235,51.338,51.114,51.238,2969
2013-12-31 15:19:00,51.26,51.38,51.139,51.263,7491
2013-12-31 15:18:00,51.226,51.363,51.118,51.28,2300
2013-12-31 15:17:00,51.21,51.321,51.101,51.234,1400
2013-12-31 15:16:00,51.193,51.313,51.089,51.23,1200
2013-12-31 15:15:00,51.185,51.296,51.081,51.213,700
2013-12-31 15:14:00,51.168,51.28,51.064,51.197,600
2013-12-31 15:13:00,51.16,51.271,51.056,51.188,1800
2013-12-31 15:12:00,51.151,51.263,51.047,51.18,400
2013-12-31 15:11:00,51.151,51.263,51.047,51.18,1300
2013-12-31 15:10:00,51.118,51.246,51.014,51.163,2400
2013-12-31 15:09:00,51.118,51.221,51.006,51.134,5343
