,1. open,2. high,3. low,4. close,5. volume
2023-03-31 15:59:00,119.395,119.41,119.27,119.32,30211
2023-03-31 15:58:00,119.3,119.43,119.3,119.395,19522
2023-03-31 15:57:00,119.22,119.33,119.2,119.29,10653
2023-03-31 15:56:00,119.24,119.25,119.15,119.22,11064
2023-03-31 15:55:00,119.02,119.319,118.99,119.25,11385
2023-03-31 15:54:00,119.09,119.19,118.93,119.021,25853
2023-03-31 15:53:00,119.03,119.075,119.03,119.04,5920
2023-03-31 15:52:00,119.095,119.12,119.015,119.02,6687
2023-03-31 15:51:00,118.94,119.09,118.92,119.09,7575
2023-03-31 15:50:00,119.04,119.06,118.92,118.94,15840
2023-03-31 15:49:00,119.01,119.08,118.99,119.03,3653
2023-03-31 15:48:00,119.08,119.08,118.95,119.01,1500
2023-03-31 15:47:00,119.17,119.17,119.0,119.11,14255
2023-03-31 15:46:00,119.06,119.18,119.06,119.17,2820
2023-03-31 15:45:00,119.01,119.075,119.01,119.055,6155
2023-03-31 15:44:00,119.09,119.13,119.01,119.01,2100
2023-03-31 15:43:00,119.17,119.21,119.1,119.1,3341
2023-03-31 15:42:00,119.175,119.21,119.16,119.19,3000
2023-03-31 15:41:00,119.28,119.285,119.16,119.16,1226
2023-03-31 15:40:00,119.33,119.34,119.26,119.26,3400
2023-03-31 15:39:00,119.48,119.48,119.32,119.32,1176
2023-03-31 15:38:00,119.44,119.47,119.425,119.46,3297
2023-03-31 15:37:00,119.58,119.58,119.4,119.4,4051
2023-03-31 15:36:00,119.62,119.62,119.55,119.595,2932
2023-03-31 15:35:00,119.639,119.65,119.62,119.646,6165
2023-03-31 15:34:00,119.57,119.65,119.57,119.65,1305
2023-03-31 15:33:00,119.69,119.69,119.54,119.54,4565
2023-03-31 15:32:00,119.695,119.71,119.65,119.68,3929
2023-03-31 15:31:00,119.82,119.86,119.69,119.72,6368
2023-03-31 15:30:00,119.75,119.84,119.75,119.82,4377
2023-03-31 15:29:00,119.85,119.92,119.75,119.79,12357
2023-03-31 15:28:00,119.79,119.91,119.79,119.88,5900
2023-03-31 15:27:00,119.85,119.85,119.78,119.79,2900
2023-03-31 15:26:00,119.79,119.91,119.79,119.905,3637
2023-03-31 15:25:00,119.655,119.81,119.655,119.78,4800
2023-03-31 15:24:00,119.62,119.655,119.62,119.655,1800
2023-03-31 15:23:00,119.62,119.65,119.6,119.62,2750
2023-03-31 15:22:00,119.62,119.62,119.585,119.61,855
2023-03-31 15:21:00,119.63,119.68,119.59,119.629,3892
2023-03-31 15:20:00,119.49,119.61,119.49,119.61,2885
2023-03-31 15:19:00,119.67,119.67,119.34,119.47,23168
2023-03-31 15:18:00,119.66,119.66,119.66,119.66,200
2023-03-31 15:17:00,119.67,119.67,119.63,119.67,1554
2023-03-31 15:16:00,119.61,119.67,119.6,119.67,1600
2023-03-31 15:15:00,119.585,119.585,119.55,119.585,500
2023-03-31 15:14:00,119.55,119.61,119.54,119.58,1760
2023-03-31 15:13:00,119.5,119.625,119.5,119.56,2125
2023-03-31 15:12:00,119.55,119.55,119.47,119.49,1600
2023-03-31 15:11:00,119.6,119.6,119.56,119.58,2000
2023-03-31 15:10:00,119.6,119.62,119.59,119.59,500
2023-03-31 15:09:00,119.58,119.61,119.58,119.58,700
2023-03-31 15:08:00,119.535,119.535,119.535,119.535,100
2023-03-31 15:07:00,119.49,119.55,119.48,119.53,2300
2023-03-31 15:06:00,119.54,119.54,119.508,119.52,1280
2023-03-31 15:04:00,119.57,119.58,119.57,119.58,400
2023-03-31 15:03:00,119.56,119.615,119.53,119.53,1743
2023-03-31 15:02:00,119.545,119.585,119.49,119.585,1900
2023-03-31 15:01:00,119.44,119.56,119.44,119.56,700
2023-03-31 15:00:00,119.46,119.48,119.405,119.43,1255
2023-03-31 14:59:00,119.45,119.45,119.425,119.445,700
2023-03-31 14:58:00,119.37,119.46,119.37,119.45,400
2023-03-31 14:57:00,119.22,119.375,119.22,119.375,2520
2023-03-31 14:56:00,119.275,119.275,119.23,119.255,2792
2023-03-31 14:55:00,119.4,119.4,119.28,119.31,3860
2023-03-31 14:54:00,119.425,119.455,119.42,119.425,1300
2023-03-31 14:53:00,119.41,119.435,119.4,119.41,2000
2023-03-31 14:52:00,119.345,119.395,119.33,119.395,1642
2023-03-31 14:51:00,119.335,119.376,119.33,119.33,503
2023-03-31 14:50:00,119.53,119.53,119.335,119.335,1026
2023-03-31 14:49:00,119.498,119.55,119.498,119.52,2626
2023-03-31 14:48:00,119.46,119.51,119.45,119.5,1800
2023-03-31 14:47:00,119.49,119.5,119.485,119.485,713
2023-03-31 14:46:00,119.51,119.51,119.49,119.49,1000
2023-03-31 14:45:00,119.5,119.52,119.5,119.51,700
2023-03-31 14:44:00,119.5,119.52,119.47,119.475,1000
2023-03-31 14:43:00,119.49,119.53,119.48,119.53,700
2023-03-31 14:42:00,119.4,119.47,119.4,119.47,1752
2023-03-31 14:41:00,119.38,119.45,119.38,119.38,683
2023-03-31 14:40:00,119.43,119.43,119.38,119.38,600
2023-03-31 14:39:00,119.43,119.43,119.43,119.43,100
2023-03-31 14:38:00,119.38,119.44,119.38,119.43,1029
2023-03-31 14:37:00,119.34,119.37,119.34,119.355,500
2023-03-31 14:36:00,119.285,119.33,119.285,119.33,300
2023-03-31 14:35:00,119.29,119.29,119.18,119.275,850
2023-03-31 14:34:00,119.32,119.34,119.315,119.32,1500
2023-03-31 14:33:00,119.28,119.3,119.26,119.3,1200
2023-03-31 14:32:00,119.265,119.265,119.255,119.255,300
2023-03-31 14:31:00,119.21,119.28,119.21,119.28,1100
2023-03-31 14:30:00,119.265,119.265,119.21,119.24,600
2023-03-31 14:29:00,119.245,119.265,119.19,119.23,1300
2023-03-31 14:28:00,119.285,119.285,119.25,119.285,420
2023-03-31 14:27:00,119.18,119.29,119.18,119.29,1300
2023-03-31 14:26:00,119.195,119.195,119.12,119.12,784
2023-03-31 14:25:00,119.17,119.24,119.17,119.215,1400
2023-03-31 14:24:00,119.2,119.205,119.17,119.205,500
