,1. open,2. high,3. low,4. close,5. volume
2013-12-31 15:59:00,35.997,36.062,35.974,36.05,52643
2013-12-31 15:58:00,36.017,36.033,35.969,35.991,21331
2013-12-31 15:57:00,36.046,36.062,35.994,36.011,30095
2013-12-31 15:56:00,36.076,36.082,36.033,36.04,16395
2013-12-31 15:55:00,36.085,36.092,36.053,36.06,14515
2013-12-31 15:54:00,36.1,36.111,36.072,36.079,14564
2013-12-31 15:53:00,36.105,36.111,36.082,36.089,3901
2013-12-31 15:52:00,36.1,36.111,36.082,36.099,4108
2013-12-31 15:51:00,36.1,36.111,36.082,36.094,2100
2013-12-31 15:50:00,36.076,36.111,36.062,36.099,10421
2013-12-31 15:49:00,36.095,36.101,36.053,36.06,5068
2013-12-31 15:48:00,36.125,36.141,36.082,36.089,3300
2013-12-31 15:47:00,36.105,36.16,36.092,36.119,14797
2013-12-31 15:46:00,36.09,36.106,36.067,36.094,8564
2013-12-31 15:45:00,36.036,36.101,36.023,36.084,19667
2013-12-31 15:44:00,36.036,36.043,36.013,36.03,2862
2013-12-31 15:43:00,36.056,36.062,36.028,36.04,3432
2013-12-31 15:42:00,36.017,36.062,36.004,36.042,7352
2013-12-31 15:41:00,35.997,36.023,35.974,36.011,5293
2013-12-31 15:40:00,36.007,36.013,35.974,35.981,3722
2013-12-31 15:39:00,36.007,36.033,35.994,36.011,9168
2013-12-31 15:38:00,35.992,36.003,35.974,35.991,6110
2013-12-31 15:37:00,35.997,36.008,35.974,35.981,6136
2013-12-31 15:36:00,35.997,36.013,35.984,35.991,3100
2013-12-31 15:35:00,36.002,36.013,35.989,36.001,1000
2013-12-31 15:34:00,36.007,36.013,35.984,35.991,900
2013-12-31 15:33:00,36.026,36.033,35.994,36.001,6582
2013-12-31 15:32:00,35.971,36.033,35.958,36.021,12318
2013-12-31 15:31:00,35.987,35.994,35.964,35.972,4734
2013-12-31 15:30:00,35.919,35.994,35.906,35.981,16240
2013-12-31 15:29:00,35.914,35.92,35.896,35.903,1300
2013-12-31 15:28:00,35.919,35.935,35.896,35.903,4943
2013-12-31 15:27:00,35.928,35.935,35.915,35.923,900
2013-12-31 15:26:00,35.928,35.935,35.915,35.923,700
2013-12-31 15:25:00,35.919,35.935,35.906,35.923,2000
2013-12-31 15:24:00,35.894,35.925,35.881,35.913,3684
2013-12-31 15:23:00,35.889,35.895,35.871,35.883,3818
2013-12-31 15:22:00,35.889,35.895,35.871,35.883,1100
2013-12-31 15:21:00,35.889,35.895,35.871,35.878,1700
2013-12-31 15:20:00,35.884,35.895,35.866,35.883,1600
2013-12-31 15:19:00,35.879,35.895,35.866,35.883,3022
2013-12-31 15:18:00,35.879,35.895,35.866,35.883,1100
2013-12-31 15:17:00,35.879,35.895,35.866,35.883,800
2013-12-31 15:16:00,35.879,35.895,35.866,35.883,1400
2013-12-31 15:15:00,35.879,35.895,35.866,35.883,1095
2013-12-31 15:14:00,35.884,35.895,35.866,35.878,2892
2013-12-31 15:13:00,35.889,35.895,35.871,35.883,1500
