,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,80.425,80.43,80.21,80.22,213650
2024-03-22 15:58:00,80.405,80.45,80.39,80.43,95710
2024-03-22 15:57:00,80.39,80.41,80.37,80.41,64416
2024-03-22 15:56:00,80.365,80.4,80.355,80.4,49426
2024-03-22 15:55:00,80.36,80.385,80.33,80.37,52986
2024-03-22 15:54:00,80.375,80.4,80.35,80.37,38425
2024-03-22 15:53:00,80.325,80.38,80.305,80.375,42910
2024-03-22 15:52:00,80.33,80.34,80.315,80.325,32412
2024-03-22 15:51:00,80.325,80.375,80.32,80.325,27060
2024-03-22 15:50:00,80.28,80.35,80.28,80.325,63191
2024-03-22 15:49:00,80.3,80.3,80.27,80.275,22671
2024-03-22 15:48:00,80.23,80.3,80.23,80.3,20075
2024-03-22 15:47:00,80.255,80.26,80.225,80.23,16427
2024-03-22 15:46:00,80.2,80.26,80.19,80.255,18284
2024-03-22 15:45:00,80.215,80.222,80.19,80.195,29015
2024-03-22 15:44:00,80.18,80.23,80.17,80.215,16898
2024-03-22 15:43:00,80.18,80.195,80.175,80.175,9994
2024-03-22 15:42:00,80.22,80.22,80.15,80.175,16275
2024-03-22 15:41:00,80.175,80.23,80.175,80.23,19745
2024-03-22 15:40:00,80.14,80.175,80.13,80.175,17226
2024-03-22 15:39:00,80.127,80.14,80.127,80.135,11701
2024-03-22 15:38:00,80.15,80.16,80.12,80.13,12908
2024-03-22 15:37:00,80.115,80.18,80.115,80.155,18790
2024-03-22 15:36:00,80.1,80.13,80.09,80.11,11005
2024-03-22 15:35:00,80.06,80.11,80.05,80.11,12630
2024-03-22 15:34:00,80.035,80.07,80.035,80.06,8352
2024-03-22 15:33:00,80.06,80.06,80.03,80.03,11822
2024-03-22 15:32:00,80.12,80.12,80.06,80.06,25538
2024-03-22 15:31:00,80.136,80.15,80.12,80.12,13706
2024-03-22 15:30:00,80.16,80.163,80.14,80.14,16560
2024-03-22 15:29:00,80.155,80.175,80.15,80.16,9707
2024-03-22 15:28:00,80.22,80.221,80.14,80.16,15614
2024-03-22 15:27:00,80.185,80.235,80.18,80.22,10958
2024-03-22 15:26:00,80.14,80.185,80.14,80.185,7535
2024-03-22 15:25:00,80.13,80.15,80.12,80.13,10413
2024-03-22 15:24:00,80.138,80.15,80.119,80.12,8562
2024-03-22 15:23:00,80.166,80.166,80.14,80.14,4924
2024-03-22 15:22:00,80.165,80.185,80.15,80.16,9931
2024-03-22 15:21:00,80.185,80.185,80.148,80.16,7961
2024-03-22 15:20:00,80.205,80.22,80.18,80.19,13490
2024-03-22 15:19:00,80.195,80.235,80.186,80.21,25081
2024-03-22 15:18:00,80.16,80.2,80.15,80.2,9215
2024-03-22 15:17:00,80.11,80.17,80.11,80.15,10528
2024-03-22 15:16:00,80.18,80.18,80.08,80.115,24061
2024-03-22 15:15:00,80.193,80.2,80.161,80.174,10977
2024-03-22 15:14:00,80.16,80.21,80.16,80.19,10995
2024-03-22 15:13:00,80.17,80.18,80.12,80.17,15865
2024-03-22 15:12:00,80.14,80.16,80.067,80.15,19846
2024-03-22 15:11:00,80.24,80.24,80.145,80.145,15402
2024-03-22 15:10:00,80.265,80.27,80.245,80.25,8910
2024-03-22 15:09:00,80.29,80.29,80.25,80.264,9042
2024-03-22 15:08:00,80.18,80.29,80.17,80.265,23093
2024-03-22 15:07:00,80.195,80.21,80.17,80.18,5587
2024-03-22 15:06:00,80.225,80.23,80.175,80.19,13949
2024-03-22 15:05:00,80.219,80.23,80.205,80.22,11488
2024-03-22 15:04:00,80.21,80.25,80.21,80.22,11388
2024-03-22 15:03:00,80.235,80.24,80.2,80.205,11577
2024-03-22 15:02:00,80.28,80.32,80.24,80.24,14958
2024-03-22 15:01:00,80.26,80.31,80.25,80.27,15515
2024-03-22 15:00:00,80.293,80.33,80.252,80.252,23311
2024-03-22 14:59:00,80.27,80.3,80.24,80.3,21070
2024-03-22 14:58:00,80.28,80.29,80.25,80.275,18329
2024-03-22 14:57:00,80.258,80.282,80.25,80.279,8204
2024-03-22 14:56:00,80.19,80.27,80.19,80.27,11285
2024-03-22 14:55:00,80.165,80.19,80.16,80.17,11738
2024-03-22 14:54:00,80.21,80.21,80.15,80.16,13388
2024-03-22 14:53:00,80.23,80.245,80.205,80.205,17198
2024-03-22 14:52:00,80.185,80.24,80.18,80.229,10733
