,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,180.49,180.5,180.35,180.43,11136
2024-03-22 15:58:00,180.57,180.6,180.51,180.52,7121
2024-03-22 15:57:00,180.53,180.61,180.52,180.59,3008
2024-03-22 15:56:00,180.34,180.51,180.34,180.51,4145
2024-03-22 15:55:00,180.43,180.53,180.305,180.305,4075
2024-03-22 15:54:00,180.4,180.4,180.36,180.36,1903
2024-03-22 15:53:00,180.48,180.49,180.33,180.33,3608
2024-03-22 15:52:00,180.55,180.59,180.49,180.49,3611
2024-03-22 15:51:00,180.71,180.71,180.43,180.53,6428
2024-03-22 15:50:00,180.99,181.01,180.65,180.65,3602
2024-03-22 15:49:00,181.02,181.05,181.01,181.01,4132
2024-03-22 15:48:00,180.91,181.02,180.86,181.02,5235
2024-03-22 15:47:00,180.91,180.94,180.91,180.92,1913
2024-03-22 15:46:00,180.82,180.88,180.82,180.87,2092
2024-03-22 15:45:00,180.78,180.79,180.77,180.77,2355
2024-03-22 15:44:00,180.78,180.84,180.78,180.79,1390
2024-03-22 15:43:00,180.82,180.82,180.82,180.82,306
2024-03-22 15:42:00,180.79,180.84,180.75,180.78,2981
2024-03-22 15:41:00,180.83,180.83,180.83,180.83,375
2024-03-22 15:40:00,180.78,180.855,180.76,180.855,3439
2024-03-22 15:39:00,180.75,180.78,180.75,180.78,1475
2024-03-22 15:38:00,180.69,180.69,180.66,180.66,1691
2024-03-22 15:37:00,180.7,180.745,180.7,180.745,300
2024-03-22 15:36:00,180.7,180.73,180.7,180.715,1317
2024-03-22 15:35:00,180.73,180.73,180.71,180.71,946
2024-03-22 15:34:00,180.78,180.79,180.78,180.79,483
2024-03-22 15:33:00,180.73,180.73,180.73,180.73,727
2024-03-22 15:32:00,180.73,180.73,180.7,180.73,1927
2024-03-22 15:31:00,180.83,180.83,180.68,180.73,1915
2024-03-22 15:30:00,180.82,180.87,180.74,180.74,2764
2024-03-22 15:29:00,180.79,180.79,180.79,180.79,595
2024-03-22 15:26:00,180.76,180.76,180.68,180.68,1694
2024-03-22 15:25:00,180.795,180.86,180.76,180.76,937
2024-03-22 15:24:00,180.74,180.74,180.74,180.74,296
2024-03-22 15:23:00,180.59,180.72,180.59,180.69,2884
2024-03-22 15:21:00,180.54,180.54,180.47,180.48,2913
2024-03-22 15:17:00,180.525,180.525,180.525,180.525,239
2024-03-22 15:16:00,180.43,180.54,180.395,180.54,2079
2024-03-22 15:15:00,180.65,180.65,180.48,180.48,2412
2024-03-22 15:12:00,180.42,180.47,180.34,180.44,5239
2024-03-22 15:09:00,180.57,180.57,180.39,180.42,5694
2024-03-22 15:08:00,180.56,180.56,180.56,180.56,197
2024-03-22 15:07:00,180.6,180.6,180.54,180.595,751
2024-03-22 15:04:00,180.59,180.59,180.56,180.56,473
2024-03-22 15:03:00,180.5,180.5,180.5,180.5,101
2024-03-22 15:02:00,180.49,180.49,180.49,180.49,261
2024-03-22 15:01:00,180.47,180.47,180.47,180.47,649
2024-03-22 15:00:00,180.485,180.485,180.485,180.485,324
2024-03-22 14:57:00,180.31,180.4,180.31,180.39,2644
2024-03-22 14:56:00,180.25,180.31,180.25,180.31,894
2024-03-22 14:54:00,180.195,180.195,180.195,180.195,250
2024-03-22 14:53:00,180.215,180.215,180.14,180.2,2965
2024-03-22 14:51:00,180.205,180.22,180.205,180.22,322
2024-03-22 14:50:00,180.23,180.23,180.22,180.22,1828
2024-03-22 14:49:00,180.31,180.31,180.295,180.295,470
2024-03-22 14:48:00,180.265,180.265,180.265,180.265,143
2024-03-22 14:46:00,180.25,180.25,180.25,180.25,359
2024-03-22 14:45:00,180.27,180.27,180.27,180.27,343
2024-03-22 14:44:00,180.195,180.29,180.195,180.29,805
2024-03-22 14:41:00,180.25,180.25,180.21,180.21,576
2024-03-22 14:40:00,180.2,180.26,180.19,180.26,797
2024-03-22 14:36:00,180.2,180.265,180.2,180.265,287
2024-03-22 14:35:00,180.33,180.33,180.21,180.21,518
2024-03-22 14:34:00,180.27,180.27,180.22,180.22,2446
2024-03-22 14:33:00,180.345,180.345,180.345,180.345,280
2024-03-22 14:32:00,180.43,180.43,180.38,180.38,293
2024-03-22 14:29:00,180.39,180.39,180.39,180.39,501
2024-03-22 14:28:00,180.36,180.36,180.295,180.36,413
2024-03-22 14:27:00,180.25,180.25,180.25,180.25,136
2024-03-22 14:26:00,180.2,180.27,180.2,180.27,1387
2024-03-22 14:23:00,180.115,180.115,180.115,180.115,134
2024-03-22 14:21:00,180.21,180.21,180.12,180.12,2347
2024-03-22 14:20:00,180.265,180.27,180.265,180.27,324
2024-03-22 14:17:00,180.23,180.23,180.2,180.2,718
2024-03-22 14:16:00,180.21,180.21,180.2,180.2,586
2024-03-22 14:12:00,180.26,180.3,180.26,180.28,603
2024-03-22 14:09:00,180.235,180.235,180.235,180.235,301
2024-03-22 14:08:00,180.21,180.26,180.19,180.23,1220
2024-03-22 14:04:00,180.15,180.15,180.15,180.15,616
2024-03-22 14:03:00,180.05,180.08,180.02,180.08,586
2024-03-22 14:02:00,180.09,180.09,180.02,180.065,2400
2024-03-22 14:00:00,180.09,180.09,180.015,180.015,522
2024-03-22 13:59:00,179.96,180.025,179.96,179.99,753
2024-03-22 13:58:00,179.98,179.98,179.95,179.95,503
2024-03-22 13:57:00,179.8,179.87,179.8,179.845,926
2024-03-22 13:56:00,179.81,179.81,179.81,179.81,292
