,1. open,2. high,3. low,4. close,5. volume
2016-10-31 15:59:00,78.975,79.017,78.888,78.93,32430
2016-10-31 15:58:00,78.989,79.056,78.936,78.969,11347
2016-10-31 15:57:00,78.946,79.017,78.888,78.978,9531
2016-10-31 15:56:00,78.975,79.008,78.888,78.949,11056
2016-10-31 15:55:00,78.956,79.012,78.912,78.959,6659
2016-10-31 15:54:00,78.946,79.008,78.907,78.945,6709
2016-10-31 15:53:00,78.956,78.988,78.888,78.94,5520
2016-10-31 15:52:00,78.985,79.017,78.907,78.949,4803
2016-10-31 15:51:00,78.975,79.017,78.888,78.978,11190
2016-10-31 15:50:00,79.023,79.056,78.907,78.969,12176
2016-10-31 15:49:00,79.023,79.066,78.975,79.017,6300
2016-10-31 15:48:00,79.014,79.046,78.965,79.007,1800
2016-10-31 15:47:00,79.028,79.075,78.975,79.007,3519
2016-10-31 15:46:00,79.014,79.066,78.965,79.027,7402
2016-10-31 15:45:00,79.004,79.066,78.965,78.998,7282
2016-10-31 15:44:00,79.004,79.037,78.946,78.988,2600
2016-10-31 15:43:00,79.014,79.051,78.965,78.998,2610
2016-10-31 15:42:00,78.975,79.046,78.936,79.007,4000
2016-10-31 15:41:00,79.014,79.051,78.946,78.978,2600
2016-10-31 15:40:00,79.023,79.056,78.965,79.007,4200
2016-10-31 15:39:00,79.014,79.046,78.965,78.998,1600
2016-10-31 15:38:00,79.018,79.066,78.965,78.998,5018
2016-10-31 15:37:00,79.033,79.066,78.975,79.017,2300
2016-10-31 15:36:00,79.033,79.066,78.985,79.027,2500
2016-10-31 15:35:00,79.033,79.085,78.989,79.027,2900
2016-10-31 15:34:00,79.023,79.056,78.975,79.017,3300
2016-10-31 15:33:00,79.096,79.134,78.985,79.027,5155
2016-10-31 15:32:00,79.101,79.134,79.062,79.095,800
2016-10-31 15:31:00,79.091,79.134,79.052,79.095,3000
2016-10-31 15:30:00,79.081,79.143,79.043,79.085,3900
2016-10-31 15:29:00,79.149,79.182,79.023,79.07,8519
2016-10-31 15:28:00,79.139,79.192,79.096,79.153,3212
2016-10-31 15:27:00,79.139,79.172,79.091,79.133,1400
2016-10-31 15:26:00,79.139,79.192,79.101,79.133,2586
2016-10-31 15:25:00,79.13,79.172,79.081,79.114,4242
2016-10-31 15:24:00,79.101,79.172,79.057,79.133,4900
2016-10-31 15:23:00,79.081,79.143,79.038,79.095,7700
2016-10-31 15:22:00,79.072,79.104,79.014,79.065,7277
2016-10-31 15:21:00,79.062,79.104,79.023,79.056,1145
2016-10-31 15:20:00,79.052,79.104,79.014,79.061,2325
2016-10-31 15:19:00,79.072,79.104,78.994,79.046,2396
2016-10-31 15:18:00,79.11,79.143,79.033,79.065,2800
2016-10-31 15:17:00,79.13,79.163,79.072,79.104,2295
2016-10-31 15:16:00,79.169,79.201,79.091,79.133,3000
2016-10-31 15:15:00,79.169,79.201,79.115,79.162,2814
2016-10-31 15:14:00,79.159,79.196,79.116,79.149,2000
2016-10-31 15:12:00,79.159,79.201,79.12,79.162,1826
2016-10-31 15:11:00,79.149,79.182,79.11,79.143,200
2016-10-31 15:10:00,79.164,79.201,79.11,79.153,1500
2016-10-31 15:09:00,79.169,79.201,79.12,79.153,500
2016-10-31 15:08:00,79.188,79.221,79.13,79.162,1000
