,1. open,2. high,3. low,4. close,5. volume
2016-07-29 15:59:00,53.947,54.15,53.548,53.795,74105
2016-07-29 15:58:00,53.979,54.179,53.633,53.876,17918
2016-07-29 15:57:00,53.968,54.193,53.654,53.908,22866
2016-07-29 15:56:00,53.975,54.172,53.647,53.893,10564
2016-07-29 15:55:00,53.982,54.186,53.661,53.908,12389
2016-07-29 15:54:00,53.968,54.2,53.654,53.908,11635
2016-07-29 15:53:00,53.989,54.186,53.654,53.9,5647
2016-07-29 15:52:00,53.989,54.221,53.675,53.922,11567
2016-07-29 15:51:00,54.003,54.2,53.661,53.915,10637
2016-07-29 15:50:00,54.028,54.228,53.696,53.936,9934
2016-07-29 15:49:00,54.018,54.228,53.696,53.95,6842
2016-07-29 15:48:00,54.01,54.214,53.689,53.939,5420
2016-07-29 15:47:00,53.968,54.214,53.647,53.936,11930
2016-07-29 15:46:00,53.926,54.161,53.597,53.89,6988
2016-07-29 15:45:00,53.819,54.115,53.503,53.844,19880
2016-07-29 15:44:00,53.819,54.022,53.506,53.745,2700
2016-07-29 15:43:00,53.851,54.047,53.506,53.745,7818
2016-07-29 15:42:00,53.855,54.058,53.534,53.777,7988
2016-07-29 15:41:00,53.855,54.051,53.527,53.766,4959
2016-07-29 15:40:00,53.827,54.044,53.513,53.773,2412
2016-07-29 15:39:00,53.81,54.037,53.492,53.758,5172
2016-07-29 15:38:00,53.805,54.001,53.492,53.731,400
2016-07-29 15:37:00,53.798,54.001,53.471,53.724,17350
2016-07-29 15:36:00,53.834,54.03,53.492,53.731,2891
2016-07-29 15:35:00,53.819,54.037,53.492,53.759,7719
2016-07-29 15:34:00,53.855,54.051,53.506,53.752,2409
2016-07-29 15:33:00,53.876,54.079,53.541,53.78,4321
2016-07-29 15:32:00,53.89,54.101,53.548,53.802,5307
2016-07-29 15:31:00,53.883,54.086,53.562,53.802,300
2016-07-29 15:30:00,53.918,54.115,53.583,53.823,1601
2016-07-29 15:29:00,53.897,54.115,53.576,53.837,3539
2016-07-29 15:28:00,53.911,54.108,53.562,53.826,3300
2016-07-29 15:27:00,53.926,54.122,53.59,53.83,1251
2016-07-29 15:26:00,53.933,54.129,53.576,53.847,3475
2016-07-29 15:25:00,53.94,54.143,53.619,53.858,2216
2016-07-29 15:24:00,53.947,54.148,53.626,53.865,3453
2016-07-29 15:23:00,53.947,54.143,53.619,53.872,2182
2016-07-29 15:22:00,53.918,54.143,53.583,53.872,4409
2016-07-29 15:21:00,53.933,54.129,53.604,53.844,1610
2016-07-29 15:20:00,53.954,54.15,53.612,53.861,4825
2016-07-29 15:19:00,53.961,54.172,53.64,53.879,2600
2016-07-29 15:18:00,53.975,54.186,53.647,53.886,6586
2016-07-29 15:17:00,53.968,54.193,53.654,53.9,4827
2016-07-29 15:16:00,53.954,54.164,53.633,53.886,5125
2016-07-29 15:15:00,53.955,54.157,53.633,53.879,602
2016-07-29 15:14:00,53.954,54.164,53.633,53.872,3500
2016-07-29 15:13:00,53.968,54.172,53.64,53.879,5445
2016-07-29 15:12:00,53.975,54.172,53.636,53.893,5436
2016-07-29 15:11:00,53.947,54.172,53.633,53.9,2766
2016-07-29 15:10:00,53.936,54.143,53.612,53.872,6774
2016-07-29 15:09:00,53.911,54.136,53.597,53.865,3010
2016-07-29 15:08:00,53.899,54.101,53.583,53.83,2288
2016-07-29 15:07:00,53.89,54.093,53.576,53.823,343
2016-07-29 15:06:00,53.89,54.086,53.559,53.809,4015
2016-07-29 15:05:00,53.887,54.086,53.562,53.816,7723
2016-07-29 15:04:00,53.883,54.083,53.562,53.812,1500
2016-07-29 15:03:00,53.883,54.083,53.551,53.798,5328
2016-07-29 15:02:00,53.87,54.086,53.556,53.816,1263
2016-07-29 15:01:00,53.855,54.079,53.541,53.795,5400
2016-07-29 15:00:00,53.848,54.058,53.534,53.78,2015
2016-07-29 14:59:00,53.855,54.065,53.52,53.766,12101
2016-07-29 14:58:00,53.848,54.051,53.52,53.766,21454
2016-07-29 14:57:00,53.848,54.044,53.52,53.759,200
2016-07-29 14:56:00,53.841,54.054,53.52,53.773,3501
2016-07-29 14:55:00,53.848,54.051,53.534,53.775,1482
2016-07-29 14:54:00,53.873,54.072,53.534,53.773,4615
2016-07-29 14:53:00,53.876,54.072,53.559,53.802,2000
2016-07-29 14:52:00,53.876,54.072,53.548,53.795,1696
2016-07-29 14:51:00,53.827,54.058,53.499,53.787,4500
2016-07-29 14:50:00,53.855,54.051,53.506,53.745,2300
2016-07-29 14:49:00,53.848,54.044,53.534,53.773,100
2016-07-29 14:48:00,53.869,54.069,53.534,53.773,2400
2016-07-29 14:47:00,53.841,54.072,53.527,53.802,2177
2016-07-29 14:46:00,53.865,54.061,53.506,53.759,4604
2016-07-29 14:45:00,53.883,54.086,53.548,53.787,1800
2016-07-29 14:44:00,53.883,54.079,53.562,53.809,2922
2016-07-29 14:43:00,53.89,54.086,53.566,53.809,2906
2016-07-29 14:42:00,53.89,54.091,53.569,53.816,4300
2016-07-29 14:41:00,53.844,54.101,53.515,53.816,17428
2016-07-29 14:40:00,53.812,54.037,53.495,53.766,2538
2016-07-29 14:39:00,53.798,54.015,53.485,53.745,2000
2016-07-29 14:38:00,53.823,54.03,53.48,53.719,5492
2016-07-29 14:37:00,53.791,54.015,53.472,53.745,2258
2016-07-29 14:36:00,53.754,53.987,53.441,53.71,1629
2016-07-29 14:35:00,53.848,54.051,53.365,53.703,14780
2016-07-29 14:34:00,53.94,54.157,53.534,53.773,11405
2016-07-29 14:33:00,53.989,54.186,53.633,53.872,2735
2016-07-29 14:32:00,54.018,54.218,53.682,53.922,4414
