,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,64.015,64.015,63.91,63.95,142287
2024-03-22 15:58:00,63.945,64.03,63.945,64.02,109870
2024-03-22 15:57:00,63.97,63.99,63.92,63.94,71492
2024-03-22 15:56:00,63.87,63.98,63.85,63.97,54012
2024-03-22 15:55:00,63.95,63.95,63.86,63.87,86735
2024-03-22 15:54:00,63.95,64.0,63.94,63.96,58190
2024-03-22 15:53:00,63.95,63.955,63.915,63.945,30507
2024-03-22 15:52:00,63.89,63.99,63.89,63.955,32826
2024-03-22 15:51:00,63.88,63.9,63.87,63.89,17727
2024-03-22 15:50:00,63.81,63.87,63.805,63.865,27296
2024-03-22 15:49:00,63.87,63.87,63.815,63.815,11034
2024-03-22 15:48:00,63.87,63.885,63.85,63.86,19982
2024-03-22 15:47:00,63.87,63.895,63.867,63.87,12004
2024-03-22 15:46:00,63.875,63.9,63.865,63.87,9886
2024-03-22 15:45:00,63.86,63.89,63.825,63.89,13233
2024-03-22 15:44:00,63.885,63.905,63.86,63.86,6253
2024-03-22 15:43:00,63.905,63.92,63.89,63.89,9333
2024-03-22 15:42:00,63.89,63.92,63.885,63.91,9974
2024-03-22 15:41:00,63.91,63.91,63.885,63.885,9631
2024-03-22 15:40:00,63.885,63.905,63.87,63.9,9363
2024-03-22 15:39:00,63.86,63.88,63.835,63.88,7863
2024-03-22 15:38:00,63.87,63.88,63.85,63.85,6956
2024-03-22 15:37:00,63.88,63.91,63.845,63.85,47385
2024-03-22 15:36:00,63.805,63.88,63.805,63.88,11376
2024-03-22 15:35:00,63.8,63.83,63.78,63.79,9089
2024-03-22 15:34:00,63.78,63.82,63.78,63.8,4889
2024-03-22 15:33:00,63.8,63.8,63.73,63.78,8756
2024-03-22 15:32:00,63.8,63.83,63.79,63.81,5472
2024-03-22 15:31:00,63.835,63.84,63.8,63.8,6642
2024-03-22 15:30:00,63.88,63.88,63.83,63.83,9898
2024-03-22 15:29:00,63.85,63.88,63.85,63.877,3588
2024-03-22 15:28:00,63.89,63.893,63.86,63.86,8148
2024-03-22 15:27:00,63.91,63.92,63.895,63.91,16157
