,1. open,2. high,3. low,4. close,5. volume
2015-10-30 15:59:00,23.464,23.623,23.04,23.285,92049
2015-10-30 15:58:00,23.464,23.629,23.104,23.338,66683
2015-10-30 15:57:00,23.452,23.623,23.084,23.338,44831
2015-10-30 15:56:00,23.464,23.617,23.087,23.332,39709
2015-10-30 15:55:00,23.47,23.623,23.098,23.338,28712
2015-10-30 15:54:00,23.485,23.637,23.081,23.344,285706
2015-10-30 15:53:00,23.47,23.643,23.11,23.359,31497
2015-10-30 15:52:00,23.47,23.629,23.11,23.35,13326
2015-10-30 15:51:00,23.482,23.637,23.099,23.35,28615
2015-10-30 15:50:00,23.488,23.666,23.122,23.362,29118
2015-10-30 15:49:00,23.505,23.658,23.128,23.368,9721
2015-10-30 15:48:00,23.494,23.661,23.128,23.373,18572
2015-10-30 15:47:00,23.494,23.664,23.133,23.368,16454
2015-10-30 15:46:00,23.499,23.655,23.131,23.368,14979
2015-10-30 15:45:00,23.44,23.646,23.075,23.368,35133
2015-10-30 15:44:00,23.422,23.599,23.063,23.314,20954
2015-10-30 15:43:00,23.422,23.581,23.058,23.294,6662
2015-10-30 15:42:00,23.422,23.575,23.052,23.291,19941
2015-10-30 15:41:00,23.422,23.587,23.052,23.294,24421
2015-10-30 15:40:00,23.416,23.587,23.056,23.294,12173
2015-10-30 15:39:00,23.44,23.593,23.046,23.291,21093
2015-10-30 15:38:00,23.434,23.593,23.075,23.314,5948
2015-10-30 15:37:00,23.422,23.605,23.063,23.309,19545
2015-10-30 15:36:00,23.399,23.569,23.028,23.291,18709
2015-10-30 15:35:00,23.428,23.581,23.04,23.276,10676
2015-10-30 15:34:00,23.422,23.587,23.037,23.303,22371
2015-10-30 15:33:00,23.416,23.593,23.058,23.291,20297
2015-10-30 15:32:00,23.422,23.575,23.052,23.285,5408
2015-10-30 15:31:00,23.411,23.593,23.052,23.294,12731
2015-10-30 15:30:00,23.39,23.566,23.028,23.288,29738
2015-10-30 15:29:00,23.387,23.545,23.028,23.264,18592
2015-10-30 15:28:00,23.373,23.542,23.005,23.261,26922
2015-10-30 15:27:00,23.393,23.548,23.013,23.246,28143
2015-10-30 15:26:00,23.411,23.569,23.034,23.267,16421
2015-10-30 15:25:00,23.416,23.581,23.052,23.291,13749
2015-10-30 15:24:00,23.428,23.587,23.052,23.291,12354
2015-10-30 15:23:00,23.44,23.593,23.067,23.301,6938
2015-10-30 15:22:00,23.464,23.617,23.077,23.314,13321
2015-10-30 15:21:00,23.458,23.623,23.087,23.338,20539
2015-10-30 15:20:00,23.446,23.617,23.081,23.326,60875
2015-10-30 15:19:00,23.443,23.599,23.075,23.317,15279
2015-10-30 15:18:00,23.44,23.599,23.069,23.32,21690
2015-10-30 15:17:00,23.446,23.599,23.069,23.314,19822
2015-10-30 15:16:00,23.452,23.605,23.081,23.32,14952
2015-10-30 15:15:00,23.434,23.605,23.075,23.326,23886
2015-10-30 15:14:00,23.446,23.617,23.075,23.314,10695
2015-10-30 15:13:00,23.458,23.617,23.081,23.314,6093
2015-10-30 15:12:00,23.464,23.629,23.098,23.332,8256
2015-10-30 15:11:00,23.47,23.634,23.107,23.347,8063
2015-10-30 15:10:00,23.452,23.617,23.063,23.338,10914
2015-10-30 15:09:00,23.44,23.603,23.081,23.324,4979
2015-10-30 15:08:00,23.446,23.605,23.081,23.314,6176
2015-10-30 15:07:00,23.446,23.617,23.078,23.317,8997
2015-10-30 15:06:00,23.47,23.623,23.063,23.32,18275
2015-10-30 15:05:00,23.499,23.652,23.116,23.35,11785
2015-10-30 15:04:00,23.473,23.658,23.11,23.379,32766
2015-10-30 15:03:00,23.479,23.634,23.11,23.344,6106
2015-10-30 15:02:00,23.461,23.634,23.101,23.356,12245
2015-10-30 15:01:00,23.476,23.634,23.098,23.333,14377
2015-10-30 15:00:00,23.494,23.646,23.098,23.347,22532
2015-10-30 14:59:00,23.523,23.688,23.133,23.368,11861
2015-10-30 14:58:00,23.481,23.676,23.11,23.397,49284
2015-10-30 14:57:00,23.488,23.64,23.11,23.35,3390
2015-10-30 14:56:00,23.499,23.67,23.128,23.362,13958
2015-10-30 14:55:00,23.511,23.664,23.122,23.368,35398
2015-10-30 14:54:00,23.511,23.676,23.142,23.385,36702
2015-10-30 14:53:00,23.499,23.67,23.139,23.385,9499
2015-10-30 14:52:00,23.541,23.694,23.131,23.373,29597
2015-10-30 14:51:00,23.547,23.718,23.169,23.415,17042
2015-10-30 14:50:00,23.535,23.7,23.163,23.415,88142
2015-10-30 14:49:00,23.553,23.706,23.177,23.415,10530
2015-10-30 14:48:00,23.565,23.724,23.186,23.432,23428
2015-10-30 14:47:00,23.511,23.718,23.151,23.438,68223
2015-10-30 14:46:00,23.535,23.688,23.151,23.385,15452
2015-10-30 14:45:00,23.527,23.697,23.151,23.403,11856
2015-10-30 14:44:00,23.535,23.706,23.163,23.403,21263
2015-10-30 14:43:00,23.561,23.718,23.174,23.415,29120
2015-10-30 14:42:00,23.588,23.742,23.198,23.438,8309
2015-10-30 14:41:00,23.606,23.766,23.227,23.462,9389
2015-10-30 14:40:00,23.618,23.778,23.239,23.486,25258
2015-10-30 14:39:00,23.6,23.778,23.239,23.491,16653
2015-10-30 14:38:00,23.618,23.778,23.221,23.474,25777
2015-10-30 14:37:00,23.618,23.784,23.253,23.491,12600
2015-10-30 14:36:00,23.624,23.784,23.25,23.497,7278
2015-10-30 14:35:00,23.606,23.784,23.244,23.497,14510
2015-10-30 14:34:00,23.618,23.772,23.227,23.486,20045
2015-10-30 14:33:00,23.622,23.778,23.256,23.491,1700
2015-10-30 14:32:00,23.606,23.778,23.233,23.491,78620
2015-10-30 14:31:00,23.588,23.766,23.215,23.48,12578
2015-10-30 14:30:00,23.559,23.742,23.198,23.456,19386
2015-10-30 14:29:00,23.571,23.736,23.204,23.438,7600
2015-10-30 14:28:00,23.577,23.736,23.204,23.444,12602
2015-10-30 14:27:00,23.565,23.73,23.192,23.45,20982
2015-10-30 14:26:00,23.577,23.742,23.192,23.435,24172
2015-10-30 14:25:00,23.552,23.724,23.191,23.444,21621
2015-10-30 14:24:00,23.551,23.718,23.174,23.421,8814
2015-10-30 14:23:00,23.541,23.712,23.18,23.432,5225
2015-10-30 14:22:00,23.547,23.7,23.18,23.415,2383
2015-10-30 14:21:00,23.559,23.724,23.189,23.432,12653
2015-10-30 14:20:00,23.582,23.736,23.198,23.438,5178
2015-10-30 14:19:00,23.588,23.748,23.209,23.462,12339
2015-10-30 14:18:00,23.601,23.754,23.221,23.468,9752
2015-10-30 14:17:00,23.588,23.76,23.224,23.48,5100
2015-10-30 14:16:00,23.567,23.739,23.204,23.459,6541
2015-10-30 14:15:00,23.582,23.748,23.204,23.438,6873
2015-10-30 14:14:00,23.529,23.73,23.163,23.45,8028
2015-10-30 14:13:00,23.529,23.688,23.163,23.409,4715
2015-10-30 14:12:00,23.529,23.688,23.163,23.409,5363
2015-10-30 14:11:00,23.505,23.688,23.145,23.397,5840
2015-10-30 14:10:00,23.499,23.658,23.122,23.379,18980
2015-10-30 14:09:00,23.503,23.658,23.126,23.368,4824
2015-10-30 14:08:00,23.452,23.658,23.093,23.376,9655
2015-10-30 14:07:00,23.467,23.62,23.087,23.326,3300
2015-10-30 14:06:00,23.511,23.664,23.099,23.338,17142
2015-10-30 14:05:00,23.508,23.676,23.139,23.385,6029
2015-10-30 14:04:00,23.523,23.682,23.145,23.379,5080
2015-10-30 14:03:00,23.565,23.718,23.169,23.403,4153
2015-10-30 14:02:00,23.523,23.706,23.157,23.427,17473
2015-10-30 14:01:00,23.553,23.706,23.151,23.397,28802
2015-10-30 14:00:00,23.6,23.76,23.192,23.427,8798
2015-10-30 13:59:00,23.654,23.808,23.227,23.474,19017
2015-10-30 13:58:00,23.683,23.837,23.291,23.527,13944
2015-10-30 13:57:00,23.695,23.855,23.314,23.568,7396
2015-10-30 13:56:00,23.671,23.861,23.309,23.58,14325
2015-10-30 13:55:00,23.651,23.82,23.285,23.539,13708
2015-10-30 13:54:00,23.63,23.814,23.262,23.527,23788
2015-10-30 13:53:00,23.582,23.784,23.215,23.503,18777
2015-10-30 13:52:00,23.582,23.736,23.215,23.453,6303
2015-10-30 13:51:00,23.559,23.742,23.198,23.45,9778
2015-10-30 13:50:00,23.582,23.736,23.195,23.435,4798
2015-10-30 13:49:00,23.577,23.73,23.198,23.45,6987
2015-10-30 13:48:00,23.511,23.736,23.145,23.444,26497
2015-10-30 13:47:00,23.488,23.664,23.122,23.379,8009
2015-10-30 13:46:00,23.476,23.64,23.11,23.362,5885
2015-10-30 13:45:00,23.499,23.658,23.122,23.356,4638
2015-10-30 13:44:00,23.535,23.691,23.128,23.373,13844
2015-10-30 13:43:00,23.535,23.694,23.174,23.409,3985
2015-10-30 13:42:00,23.535,23.701,23.174,23.415,4340
2015-10-30 13:41:00,23.535,23.694,23.169,23.409,1475
2015-10-30 13:40:00,23.517,23.694,23.146,23.409,6009
2015-10-30 13:39:00,23.511,23.682,23.145,23.397,7442
2015-10-30 13:38:00,23.517,23.673,23.139,23.385,2538
2015-10-30 13:37:00,23.488,23.664,23.128,23.385,7075
2015-10-30 13:36:00,23.47,23.652,23.11,23.362,11003
2015-10-30 13:35:00,23.465,23.623,23.093,23.338,5691
2015-10-30 13:34:00,23.44,23.623,23.075,23.344,7276
2015-10-30 13:33:00,23.44,23.593,23.075,23.314,9129
2015-10-30 13:32:00,23.434,23.599,23.075,23.318,3744
2015-10-30 13:31:00,23.44,23.599,23.069,23.309,11957
2015-10-30 13:30:00,23.44,23.599,23.078,23.314,6353
2015-10-30 13:29:00,23.452,23.617,23.087,23.32,10578
2015-10-30 13:28:00,23.44,23.611,23.081,23.332,6129
2015-10-30 13:27:00,23.44,23.593,23.063,23.314,7054
2015-10-30 13:26:00,23.428,23.593,23.058,23.314,2838
2015-10-30 13:25:00,23.416,23.599,23.058,23.309,6895
2015-10-30 13:24:00,23.434,23.587,23.052,23.288,3758
2015-10-30 13:23:00,23.428,23.611,23.069,23.314,6220
2015-10-30 13:22:00,23.411,23.587,23.046,23.303,7966
2015-10-30 13:21:00,23.393,23.569,23.028,23.279,11419
2015-10-30 13:20:00,23.393,23.551,23.028,23.273,3496
2015-10-30 13:19:00,23.387,23.545,23.023,23.267,2679
2015-10-30 13:18:00,23.405,23.557,23.017,23.261,6596
2015-10-30 13:17:00,23.411,23.563,23.04,23.279,3629
2015-10-30 13:16:00,23.369,23.559,23.011,23.282,6832
2015-10-30 13:15:00,23.333,23.509,22.976,23.232,9314
2015-10-30 13:14:00,23.31,23.491,22.952,23.208,6425
2015-10-30 13:13:00,23.292,23.476,22.935,23.185,15550
2015-10-30 13:12:00,23.28,23.441,22.917,23.164,11074
2015-10-30 13:11:00,23.292,23.444,22.926,23.158,3275
2015-10-30 13:10:00,23.304,23.467,22.923,23.161,5912
2015-10-30 13:09:00,23.28,23.449,22.912,23.173,8030
2015-10-30 13:08:00,23.298,23.455,22.917,23.155,18072
2015-10-30 13:07:00,23.292,23.455,22.929,23.179,6504
2015-10-30 13:06:00,23.292,23.467,22.923,23.17,28784
2015-10-30 13:05:00,23.316,23.473,22.923,23.167,9543
