,1. open,2. high,3. low,4. close,5. volume
2021-12-31 15:59:00,230.676,230.724,230.466,230.56,4726
2021-12-31 15:58:00,230.691,230.763,230.568,230.715,5390
2021-12-31 15:57:00,230.628,230.753,230.529,230.657,3010
2021-12-31 15:56:00,230.482,230.7,230.383,230.628,2410
2021-12-31 15:55:00,230.56,230.598,230.364,230.463,2747
2021-12-31 15:54:00,230.768,230.807,230.568,230.628,1000
2021-12-31 15:53:00,230.725,230.879,230.655,230.822,2500
2021-12-31 15:52:00,230.686,230.821,230.568,230.744,2200
2021-12-31 15:51:00,230.793,230.86,230.713,230.773,1394
2021-12-31 15:50:00,231.094,231.132,230.713,230.841,1600
2021-12-31 15:49:00,231.249,231.287,231.072,231.132,8632
2021-12-31 15:48:00,231.268,231.355,231.179,231.259,900
2021-12-31 15:47:00,231.249,231.287,231.121,231.21,1400
2021-12-31 15:46:00,231.283,231.414,231.179,231.239,2230
2021-12-31 15:45:00,231.23,231.326,231.14,231.259,1555
2021-12-31 15:44:00,231.162,231.316,231.072,231.268,2478
2021-12-31 15:43:00,231.123,231.161,231.053,231.113,100
2021-12-31 15:42:00,231.103,231.18,231.034,231.113,2448
2021-12-31 15:41:00,231.065,231.103,230.995,231.055,400
2021-12-31 15:40:00,231.026,231.122,230.956,231.074,600
2021-12-31 15:39:00,231.065,231.108,230.922,231.035,1600
2021-12-31 15:38:00,231.099,231.137,231.004,231.064,200
2021-12-31 15:37:00,231.094,231.142,231.024,231.089,600
2021-12-31 15:36:00,231.035,231.074,230.966,231.026,100
2021-12-31 15:35:00,231.103,231.151,231.0,231.06,1200
2021-12-31 15:34:00,231.132,231.19,231.053,231.142,600
2021-12-31 15:33:00,231.191,231.229,231.121,231.181,100
2021-12-31 15:32:00,231.152,231.239,231.063,231.191,900
2021-12-31 15:31:00,231.055,231.113,230.985,231.064,700
2021-12-31 15:30:00,231.259,231.297,231.0,231.064,910
2021-12-31 15:29:00,231.249,231.316,231.135,231.195,700
2021-12-31 15:28:00,231.191,231.244,231.102,231.195,1300
2021-12-31 15:27:00,231.249,231.287,231.14,231.215,816
2021-12-31 15:26:00,231.288,231.326,231.218,231.278,100
2021-12-31 15:25:00,231.23,231.287,231.16,231.239,200
2021-12-31 15:24:00,231.132,231.19,231.063,231.132,300
2021-12-31 15:22:00,231.055,231.093,230.927,230.987,300
2021-12-31 15:21:00,230.958,231.122,230.869,231.074,1200
2021-12-31 15:20:00,230.997,231.035,230.927,230.987,100
2021-12-31 15:19:00,231.06,231.161,230.966,231.094,1075
2021-12-31 15:17:00,231.045,231.083,230.898,230.958,200
2021-12-31 15:16:00,231.016,231.054,230.946,231.006,100
2021-12-31 15:15:00,230.822,230.86,230.752,230.812,200
2021-12-31 15:14:00,230.997,231.035,230.839,230.899,500
2021-12-31 15:13:00,230.987,231.083,230.917,230.987,400
2021-12-31 15:12:00,231.157,231.195,230.878,230.996,1450
2021-12-31 15:08:00,231.181,231.325,231.111,231.181,476
2021-12-31 15:07:00,231.249,231.287,231.15,231.21,200
2021-12-31 15:06:00,231.191,231.229,231.121,231.181,100
2021-12-31 15:05:00,231.259,231.297,231.014,231.074,500
2021-12-31 15:04:00,231.186,231.224,231.116,231.176,100
2021-12-31 15:03:00,230.987,231.297,230.888,231.249,2633
2021-12-31 15:01:00,230.929,231.059,230.859,231.011,300
2021-12-31 15:00:00,230.89,230.938,230.82,230.89,700
2021-12-31 14:59:00,230.734,230.85,230.645,230.802,400
2021-12-31 14:58:00,230.832,230.889,230.742,230.802,1000
2021-12-31 14:57:00,230.773,230.811,230.704,230.763,200
2021-12-31 14:56:00,230.832,230.87,230.694,230.754,900
2021-12-31 14:53:00,230.851,230.909,230.781,230.861,200
2021-12-31 14:52:00,230.822,230.86,230.723,230.783,400
2021-12-31 14:51:00,230.861,230.947,230.786,230.851,1400
2021-12-31 14:50:00,230.812,230.85,230.742,230.802,400
2021-12-31 14:48:00,230.88,230.918,230.81,230.87,102
2021-12-31 14:46:00,230.89,230.928,230.82,230.88,300
2021-12-31 14:45:00,230.909,230.986,230.839,230.938,300
2021-12-31 14:44:00,231.045,231.083,230.784,230.844,1125
2021-12-31 14:41:00,231.099,231.137,230.995,231.055,300
2021-12-31 14:40:00,231.132,231.18,230.975,231.035,418
2021-12-31 14:38:00,231.103,231.142,230.975,231.035,200
2021-12-31 14:36:00,231.113,231.151,231.043,231.103,100
2021-12-31 14:35:00,231.171,231.21,231.072,231.132,200
2021-12-31 14:34:00,231.278,231.316,231.102,231.171,902
2021-12-31 14:30:00,231.239,231.278,231.169,231.229,100
2021-12-31 14:29:00,231.147,231.185,231.077,231.137,100
2021-12-31 14:28:00,231.084,231.239,231.014,231.191,600
2021-12-31 14:27:00,231.084,231.122,231.014,231.074,100
2021-12-31 14:26:00,231.074,231.113,231.004,231.064,201
2021-12-31 14:23:00,231.123,231.161,231.053,231.113,222
2021-12-31 14:20:00,231.113,231.248,231.043,231.2,1000
2021-12-31 14:19:00,231.103,231.142,231.034,231.094,512
2021-12-31 14:17:00,231.21,231.248,231.111,231.171,300
2021-12-31 14:14:00,231.472,231.52,231.402,231.472,435
2021-12-31 14:12:00,231.492,231.549,231.373,231.501,700
2021-12-31 14:11:00,231.521,231.559,231.441,231.501,200
2021-12-31 14:10:00,231.55,231.588,231.48,231.54,100
2021-12-31 14:09:00,231.531,231.588,231.461,231.54,500
2021-12-31 14:08:00,231.676,231.715,231.596,231.657,300
2021-12-31 14:07:00,231.764,231.802,231.655,231.725,700
2021-12-31 14:06:00,231.768,231.85,231.698,231.802,258
2021-12-31 14:05:00,231.764,231.802,231.694,231.754,100
2021-12-31 14:04:00,231.696,231.744,231.626,231.695,300
2021-12-31 14:03:00,231.686,231.724,231.616,231.676,100
2021-12-31 14:02:00,231.628,231.695,231.441,231.627,1400
2021-12-31 14:01:00,231.754,231.792,231.664,231.725,400
2021-12-31 14:00:00,231.773,231.841,231.703,231.763,400
2021-12-31 13:58:00,231.859,231.897,231.789,231.849,274
2021-12-31 13:56:00,232.016,232.054,231.888,231.948,300
2021-12-31 13:55:00,232.045,232.219,231.975,232.074,1300
2021-12-31 13:53:00,232.079,232.118,231.957,232.017,400
2021-12-31 13:51:00,232.069,232.108,231.999,232.06,100
2021-12-31 13:50:00,232.113,232.181,232.043,232.132,300
2021-12-31 13:49:00,232.123,232.161,232.053,232.113,100
2021-12-31 13:47:00,232.074,232.2,232.004,232.152,200
2021-12-31 13:46:00,232.021,232.059,231.951,232.011,5000
2021-12-31 13:45:00,231.938,232.016,231.82,231.967,705
2021-12-31 13:43:00,232.016,232.054,231.946,232.006,100
2021-12-31 13:42:00,231.982,232.02,231.912,231.972,5000
2021-12-31 13:41:00,231.88,232.098,231.81,231.996,800
2021-12-31 13:40:00,231.899,231.938,231.674,231.734,300
2021-12-31 13:39:00,231.909,231.982,231.839,231.933,200
2021-12-31 13:37:00,231.938,232.04,231.868,231.992,200
2021-12-31 13:36:00,232.016,232.054,231.926,231.987,200
2021-12-31 13:35:00,232.074,232.113,232.004,232.064,100
2021-12-31 13:34:00,232.016,232.132,231.946,232.084,300
2021-12-31 13:32:00,231.904,231.943,231.834,231.894,100
2021-12-31 13:31:00,231.865,231.904,231.795,231.856,100
2021-12-31 13:30:00,231.919,231.982,231.742,231.802,500
2021-12-31 13:29:00,231.846,231.899,231.776,231.841,500
2021-12-31 13:27:00,231.836,231.875,231.766,231.827,100
2021-12-31 13:26:00,231.84,231.879,231.77,231.83,250
2021-12-31 13:25:00,231.827,231.865,231.752,231.812,200
2021-12-31 13:23:00,231.846,231.884,231.776,231.836,100
2021-12-31 13:22:00,231.841,231.88,231.752,231.812,400
2021-12-31 13:21:00,231.802,231.86,231.723,231.807,1700
2021-12-31 13:20:00,231.846,231.884,231.776,231.836,100
2021-12-31 13:19:00,231.778,231.816,231.708,231.768,100
2021-12-31 13:18:00,231.817,231.855,231.698,231.759,200
2021-12-31 13:17:00,231.948,231.986,231.703,231.763,700
2021-12-31 13:16:00,231.967,232.006,231.897,231.958,300
2021-12-31 13:14:00,231.967,232.006,231.897,231.958,200
2021-12-31 13:13:00,231.929,232.083,231.859,231.958,300
2021-12-31 13:11:00,231.914,231.952,231.844,231.904,200
2021-12-31 13:10:00,231.87,231.909,231.8,231.86,100
2021-12-31 13:09:00,231.938,231.977,231.834,231.894,200
2021-12-31 13:08:00,231.987,232.025,231.917,231.977,100
2021-12-31 13:07:00,231.992,232.03,231.922,231.982,100
2021-12-31 13:06:00,232.031,232.069,231.878,231.987,700
2021-12-31 13:05:00,232.006,232.103,231.926,231.987,400
2021-12-31 13:04:00,231.904,232.054,231.834,232.006,300
2021-12-31 13:03:00,231.88,231.918,231.81,231.87,100
2021-12-31 13:02:00,231.982,232.02,231.878,231.938,200
2021-12-31 13:01:00,231.977,232.016,231.907,231.967,200
2021-12-31 13:00:00,231.89,231.928,231.82,231.88,200
2021-12-31 12:59:00,231.768,231.807,231.698,231.759,100
2021-12-31 12:57:00,231.55,231.671,231.48,231.623,200
2021-12-31 12:56:00,231.501,231.54,231.431,231.492,181
2021-12-31 12:55:00,231.55,231.637,231.48,231.555,722
2021-12-31 12:54:00,231.511,231.549,231.441,231.501,300
2021-12-31 12:53:00,231.637,231.676,231.441,231.501,4989
2021-12-31 12:52:00,231.676,231.715,231.606,231.666,100
2021-12-31 12:51:00,231.704,231.743,231.634,231.694,200
2021-12-31 12:50:00,231.623,231.661,231.553,231.613,100
2021-12-31 12:48:00,231.608,231.647,231.538,231.598,100
2021-12-31 12:47:00,231.565,231.603,231.495,231.555,100
2021-12-31 12:45:00,231.521,231.637,231.451,231.589,600
2021-12-31 12:44:00,231.511,231.637,231.441,231.526,510
2021-12-31 12:43:00,231.327,231.549,231.257,231.501,400
2021-12-31 12:42:00,231.307,231.346,231.237,231.297,100
2021-12-31 12:41:00,231.283,231.321,231.213,231.273,100
2021-12-31 12:40:00,231.268,231.312,231.199,231.263,200
2021-12-31 12:38:00,231.225,231.263,231.155,231.215,100
2021-12-31 12:37:00,231.327,231.365,231.179,231.249,1100
2021-12-31 12:36:00,231.239,231.316,231.169,231.268,400
2021-12-31 12:34:00,231.171,231.258,231.102,231.21,423
2021-12-31 12:33:00,231.142,231.18,231.034,231.094,300
2021-12-31 12:32:00,231.23,231.268,231.16,231.22,200
2021-12-31 12:30:00,231.298,231.336,231.15,231.21,227
2021-12-31 12:29:00,231.171,231.21,231.102,231.161,100
2021-12-31 12:28:00,231.268,231.307,231.131,231.21,500
2021-12-31 12:27:00,231.264,231.652,231.194,231.604,477
2021-12-31 12:26:00,231.268,231.307,231.199,231.259,100
2021-12-31 12:24:00,231.22,231.326,231.131,231.278,400
2021-12-31 12:23:00,231.152,231.19,231.082,231.142,100
2021-12-31 12:22:00,231.191,231.292,231.009,231.132,583
2021-12-31 12:21:00,231.074,231.278,231.004,231.229,1400
2021-12-31 12:20:00,231.113,231.151,231.043,231.103,100
2021-12-31 12:19:00,231.099,231.146,231.029,231.098,200
2021-12-31 12:18:00,231.123,231.161,231.053,231.113,100
2021-12-31 12:17:00,231.21,231.248,231.053,231.113,400
2021-12-31 12:16:00,231.288,231.326,231.121,231.234,1500
2021-12-31 12:15:00,231.334,231.394,231.15,231.302,2619
2021-12-31 12:14:00,231.317,231.422,231.247,231.351,700
2021-12-31 12:13:00,231.327,231.451,231.169,231.259,1518
2021-12-31 12:12:00,231.283,231.321,231.213,231.273,200
2021-12-31 12:11:00,231.255,231.321,231.185,231.273,226
2021-12-31 12:10:00,231.254,231.312,231.184,231.263,400
2021-12-31 12:09:00,231.317,231.399,231.189,231.259,682
2021-12-31 12:08:00,231.348,231.386,231.278,231.338,145
2021-12-31 12:07:00,231.385,231.423,231.315,231.375,100
2021-12-31 12:05:00,231.147,231.185,231.077,231.137,100
2021-12-31 12:04:00,230.967,231.132,230.898,230.987,1300
2021-12-31 12:02:00,230.822,230.938,230.752,230.88,500
2021-12-31 12:01:00,230.734,230.879,230.665,230.762,600
2021-12-31 12:00:00,230.899,230.938,230.645,230.759,600
2021-12-31 11:59:00,230.798,230.918,230.728,230.87,200
2021-12-31 11:58:00,230.773,230.836,230.704,230.788,200
2021-12-31 11:57:00,230.744,230.811,230.655,230.763,700
2021-12-31 11:55:00,230.734,230.816,230.665,230.768,200
2021-12-31 11:54:00,230.715,230.811,230.645,230.759,494
2021-12-31 11:53:00,230.734,230.773,230.636,230.696,400
2021-12-31 11:51:00,230.773,230.811,230.704,230.763,200
2021-12-31 11:49:00,230.759,230.797,230.689,230.749,200
2021-12-31 11:47:00,230.851,230.889,230.781,230.841,200
2021-12-31 11:45:00,230.841,231.054,230.772,230.976,1959
2021-12-31 11:43:00,230.929,230.986,230.859,230.938,300
2021-12-31 11:42:00,230.89,230.928,230.82,230.88,100
2021-12-31 11:40:00,230.793,230.938,230.723,230.89,200
2021-12-31 11:38:00,230.783,230.831,230.713,230.773,300
2021-12-31 11:36:00,230.89,230.938,230.762,230.822,500
2021-12-31 11:35:00,230.919,230.957,230.849,230.909,700
2021-12-31 11:32:00,230.856,230.899,230.704,230.763,600
2021-12-31 11:29:00,230.734,230.928,230.665,230.793,700
2021-12-31 11:27:00,230.725,230.763,230.655,230.715,100
2021-12-31 11:26:00,230.929,230.967,230.859,230.919,100
