,1. open,2. high,3. low,4. close,5. volume
2016-07-29 15:59:00,88.914,89.039,88.686,88.805,77374
2016-07-29 15:58:00,88.905,89.139,88.741,88.871,36813
2016-07-29 15:57:00,88.86,88.985,88.686,88.837,26815
2016-07-29 15:56:00,88.887,88.985,88.65,88.805,32836
2016-07-29 15:55:00,88.968,89.067,88.722,88.841,21811
2016-07-29 15:54:00,88.828,89.03,88.673,88.887,23382
2016-07-29 15:53:00,88.841,88.939,88.659,88.769,16211
2016-07-29 15:52:00,88.95,89.094,88.668,88.787,29666
2016-07-29 15:51:00,88.921,89.039,88.759,88.887,17597
2016-07-29 15:50:00,88.832,89.021,88.668,88.859,17174
2016-07-29 15:49:00,88.891,88.98,88.65,88.778,10336
2016-07-29 15:48:00,88.873,88.985,88.686,88.841,19125
2016-07-29 15:47:00,88.764,88.967,88.605,88.823,13143
2016-07-29 15:46:00,88.705,88.853,88.55,88.705,9585
2016-07-29 15:45:00,88.678,88.812,88.523,88.669,6063
2016-07-29 15:44:00,88.615,88.749,88.433,88.605,11212
2016-07-29 15:43:00,88.71,88.83,88.433,88.542,27009
2016-07-29 15:42:00,88.696,88.83,88.541,88.66,18953
2016-07-29 15:41:00,88.705,88.803,88.531,88.651,7851
2016-07-29 15:40:00,88.624,88.803,88.469,88.66,13539
2016-07-29 15:39:00,88.615,88.721,88.46,88.566,8361
2016-07-29 15:38:00,88.615,88.712,88.433,88.542,9700
2016-07-29 15:37:00,88.669,88.767,88.433,88.551,18520
2016-07-29 15:36:00,88.705,88.799,88.491,88.605,10541
2016-07-29 15:35:00,88.696,88.803,88.541,88.651,3903
2016-07-29 15:34:00,88.696,88.812,88.523,88.626,8778
2016-07-29 15:33:00,88.624,88.787,88.469,88.644,10375
2016-07-29 15:32:00,88.642,88.794,88.46,88.578,11492
2016-07-29 15:31:00,88.705,88.812,88.478,88.578,6901
2016-07-29 15:30:00,88.787,88.903,88.55,88.678,17634
2016-07-29 15:29:00,88.869,88.958,88.614,88.741,5519
2016-07-29 15:28:00,88.678,88.95,88.523,88.796,12851
2016-07-29 15:27:00,88.705,88.83,88.523,88.633,3653
2016-07-29 15:26:00,88.796,88.885,88.514,88.633,13510
2016-07-29 15:25:00,88.615,88.985,88.442,88.732,21719
2016-07-29 15:24:00,88.687,88.776,88.433,88.542,6751
2016-07-29 15:23:00,88.596,88.785,88.442,88.633,11282
2016-07-29 15:22:00,88.6,88.703,88.405,88.518,8050
2016-07-29 15:21:00,88.424,88.703,88.251,88.558,32871
2016-07-29 15:20:00,88.433,88.54,88.251,88.361,7710
2016-07-29 15:19:00,88.406,88.558,88.251,88.361,19984
2016-07-29 15:18:00,88.397,88.494,88.206,88.352,14711
2016-07-29 15:17:00,88.415,88.522,88.224,88.343,5305
2016-07-29 15:16:00,88.433,88.549,88.251,88.352,12318
2016-07-29 15:15:00,88.361,88.54,88.197,88.37,6010
2016-07-29 15:14:00,88.346,88.504,88.098,88.297,13466
2016-07-29 15:13:00,88.451,88.549,88.188,88.297,17092
2016-07-29 15:12:00,88.41,88.549,88.251,88.388,18094
2016-07-29 15:11:00,88.469,88.558,88.251,88.361,10570
2016-07-29 15:10:00,88.488,88.585,88.315,88.426,9458
2016-07-29 15:09:00,88.488,88.585,88.272,88.433,11606
2016-07-29 15:08:00,88.442,88.585,88.261,88.424,16234
2016-07-29 15:07:00,88.414,88.612,88.26,88.415,8936
2016-07-29 15:06:00,88.524,88.631,88.252,88.352,7164
2016-07-29 15:05:00,88.569,88.685,88.383,88.483,5800
2016-07-29 15:04:00,88.587,88.685,88.369,88.506,5474
2016-07-29 15:03:00,88.569,88.694,88.396,88.524,4702
2016-07-29 15:02:00,88.631,88.721,88.433,88.533,7085
2016-07-29 15:01:00,88.633,88.767,88.415,88.569,5300
2016-07-29 15:00:00,88.696,88.812,88.396,88.578,10089
2016-07-29 14:59:00,88.519,88.731,88.324,88.578,7379
2016-07-29 14:58:00,88.506,88.631,88.315,88.465,6966
