,1. open,2. high,3. low,4. close,5. volume
2022-09-30 15:59:00,27.77,27.848,27.757,27.825,73187
2022-09-30 15:58:00,27.775,27.809,27.757,27.771,58332
2022-09-30 15:57:00,27.75,27.804,27.738,27.776,58664
2022-09-30 15:56:00,27.779,27.804,27.738,27.756,45438
2022-09-30 15:55:00,27.848,27.868,27.777,27.791,39413
2022-09-30 15:54:00,27.873,27.926,27.826,27.864,52505
2022-09-30 15:53:00,27.897,27.907,27.855,27.874,20243
2022-09-30 15:52:00,27.907,27.926,27.88,27.908,17216
2022-09-30 15:51:00,27.936,27.946,27.905,27.913,14166
2022-09-30 15:50:00,28.025,28.034,27.924,27.943,21246
2022-09-30 15:49:00,28.034,28.044,28.012,28.031,3150
2022-09-30 15:48:00,27.995,28.044,27.988,28.041,14232
2022-09-30 15:47:00,28.005,28.025,27.988,27.997,16209
2022-09-30 15:46:00,28.015,28.034,27.998,28.006,4800
2022-09-30 15:45:00,28.005,28.025,27.983,28.021,6895
2022-09-30 15:44:00,27.99,28.015,27.978,28.002,8833
2022-09-30 15:43:00,27.99,28.025,27.988,27.997,7708
2022-09-30 15:42:00,28.03,28.049,27.988,28.002,5504
2022-09-30 15:41:00,28.015,28.044,28.012,28.041,3746
2022-09-30 15:40:00,28.005,28.025,28.003,28.021,3353
2022-09-30 15:39:00,28.015,28.039,28.003,28.011,9310
2022-09-30 15:38:00,28.015,28.034,28.002,28.021,1991
2022-09-30 15:37:00,27.99,28.054,27.988,28.041,5552
2022-09-30 15:36:00,27.976,28.015,27.968,28.002,6256
2022-09-30 15:35:00,27.995,28.015,27.978,27.992,5484
2022-09-30 15:34:00,28.01,28.02,27.993,28.011,6540
2022-09-30 15:33:00,28.025,28.044,28.012,28.021,4619
2022-09-30 15:32:00,28.074,28.083,28.012,28.022,3526
2022-09-30 15:31:00,28.093,28.108,28.052,28.07,2220
2022-09-30 15:30:00,28.054,28.083,28.032,28.08,2528
2022-09-30 15:29:00,27.995,28.064,27.993,28.041,4194
2022-09-30 15:28:00,27.961,27.995,27.944,27.992,23062
2022-09-30 15:27:00,27.971,27.985,27.963,27.972,3107
2022-09-30 15:26:00,28.0,28.01,27.973,27.982,2983
2022-09-30 15:25:00,28.054,28.064,28.003,28.011,2612
2022-09-30 15:24:00,28.044,28.074,28.042,28.06,1114
2022-09-30 15:23:00,28.054,28.064,28.042,28.06,2241
2022-09-30 15:22:00,28.044,28.074,28.034,28.07,3566
2022-09-30 15:21:00,28.074,28.083,28.052,28.06,1200
2022-09-30 15:20:00,28.054,28.093,28.052,28.09,2065
2022-09-30 15:19:00,28.034,28.074,28.022,28.07,8115
2022-09-30 15:18:00,28.034,28.044,28.017,28.036,5265
2022-09-30 15:17:00,28.074,28.083,28.042,28.051,1200
2022-09-30 15:16:00,28.015,28.088,28.012,28.085,4056
2022-09-30 15:15:00,28.005,28.025,27.983,28.021,4400
2022-09-30 15:14:00,28.01,28.034,28.008,28.016,5290
2022-09-30 15:13:00,28.034,28.044,28.003,28.011,2759
2022-09-30 15:12:00,28.074,28.083,28.012,28.031,2105
2022-09-30 15:11:00,28.088,28.103,28.071,28.08,2247
2022-09-30 15:10:00,28.074,28.113,28.071,28.09,6139
2022-09-30 15:09:00,28.093,28.103,28.071,28.08,1100
2022-09-30 15:08:00,28.123,28.132,28.101,28.11,800
2022-09-30 15:07:00,28.108,28.123,28.101,28.119,1624
2022-09-30 15:06:00,28.113,28.137,28.11,28.119,2884
2022-09-30 15:05:00,28.131,28.141,28.11,28.119,6675
2022-09-30 15:04:00,28.141,28.152,28.12,28.129,712
2022-09-30 15:03:00,28.142,28.167,28.135,28.159,1399
2022-09-30 15:02:00,28.113,28.167,28.11,28.159,3530
2022-09-30 15:01:00,28.103,28.123,28.081,28.105,6167
2022-09-30 15:00:00,28.054,28.108,28.052,28.105,3837
2022-09-30 14:59:00,28.074,28.083,28.047,28.056,876
2022-09-30 14:58:00,28.044,28.083,28.037,28.08,4283
2022-09-30 14:57:00,28.059,28.074,28.032,28.046,5494
2022-09-30 14:56:00,28.069,28.079,28.057,28.07,4054
2022-09-30 14:55:00,28.113,28.123,28.071,28.085,1907
2022-09-30 14:54:00,28.123,28.132,28.11,28.119,500
2022-09-30 14:53:00,28.123,28.142,28.106,28.139,1152
2022-09-30 14:52:00,28.123,28.132,28.101,28.129,6953
2022-09-30 14:51:00,28.133,28.142,28.11,28.129,2602
2022-09-30 14:50:00,28.182,28.191,28.125,28.134,1906
2022-09-30 14:49:00,28.172,28.196,28.16,28.178,3978
2022-09-30 14:48:00,28.182,28.191,28.16,28.168,4311
2022-09-30 14:47:00,28.198,28.211,28.189,28.208,6026
2022-09-30 14:46:00,28.201,28.211,28.189,28.208,4323
2022-09-30 14:45:00,28.221,28.231,28.189,28.209,1432
2022-09-30 14:44:00,28.201,28.231,28.199,28.227,6350
2022-09-30 14:43:00,28.211,28.221,28.194,28.203,3173
2022-09-30 14:42:00,28.206,28.231,28.179,28.208,4653
2022-09-30 14:41:00,28.221,28.231,28.209,28.217,851
2022-09-30 14:40:00,28.231,28.245,28.209,28.217,1547
2022-09-30 14:39:00,28.211,28.24,28.184,28.237,6807
2022-09-30 14:38:00,28.201,28.231,28.199,28.217,3520
2022-09-30 14:37:00,28.211,28.226,28.194,28.208,3248
2022-09-30 14:36:00,28.231,28.245,28.199,28.208,1332
2022-09-30 14:35:00,28.27,28.28,28.228,28.237,3138
2022-09-30 14:34:00,28.245,28.289,28.243,28.281,3113
2022-09-30 14:33:00,28.24,28.26,28.238,28.247,2418
2022-09-30 14:32:00,28.26,28.27,28.248,28.257,1167
2022-09-30 14:31:00,28.26,28.27,28.248,28.263,1065
2022-09-30 14:30:00,28.231,28.27,28.228,28.266,2700
2022-09-30 14:29:00,28.211,28.24,28.204,28.237,10541
2022-09-30 14:28:00,28.24,28.255,28.209,28.237,2123
2022-09-30 14:27:00,28.26,28.28,28.238,28.257,2300
2022-09-30 14:26:00,28.27,28.28,28.258,28.267,910
2022-09-30 14:25:00,28.245,28.28,28.238,28.266,6363
2022-09-30 14:24:00,28.265,28.28,28.258,28.266,1733
2022-09-30 14:23:00,28.29,28.309,28.263,28.276,4677
2022-09-30 14:22:00,28.299,28.309,28.282,28.296,2670
2022-09-30 14:21:00,28.353,28.363,28.307,28.316,1843
2022-09-30 14:20:00,28.348,28.363,28.346,28.36,1221
2022-09-30 14:19:00,28.358,28.368,28.351,28.36,800
2022-09-30 14:18:00,28.393,28.402,28.366,28.374,1671
2022-09-30 14:17:00,28.402,28.412,28.375,28.394,1796
2022-09-30 14:16:00,28.393,28.407,28.39,28.404,5157
2022-09-30 14:15:00,28.388,28.402,28.385,28.399,2005
2022-09-30 14:14:00,28.397,28.412,28.385,28.404,950
2022-09-30 14:13:00,28.407,28.417,28.4,28.409,816
2022-09-30 14:12:00,28.397,28.417,28.395,28.404,1402
2022-09-30 14:11:00,28.388,28.412,28.385,28.409,2064
2022-09-30 14:10:00,28.402,28.417,28.395,28.404,1755
2022-09-30 14:09:00,28.397,28.417,28.395,28.409,1349
2022-09-30 14:08:00,28.402,28.412,28.395,28.404,976
2022-09-30 14:07:00,28.368,28.407,28.366,28.404,4699
2022-09-30 14:06:00,28.348,28.368,28.346,28.365,1945
2022-09-30 14:05:00,28.339,28.368,28.336,28.355,100784
2022-09-30 14:04:00,28.358,28.368,28.326,28.345,1188
2022-09-30 14:03:00,28.358,28.368,28.336,28.355,1560
2022-09-30 14:02:00,28.388,28.397,28.356,28.37,1847
2022-09-30 14:01:00,28.358,28.397,28.346,28.384,4097
2022-09-30 14:00:00,28.358,28.368,28.346,28.365,1600
2022-09-30 13:59:00,28.378,28.388,28.356,28.374,1350
2022-09-30 13:58:00,28.378,28.397,28.375,28.389,835
2022-09-30 13:57:00,28.388,28.397,28.375,28.384,1903
2022-09-30 13:56:00,28.388,28.397,28.375,28.384,1562
2022-09-30 13:55:00,28.373,28.407,28.37,28.394,2802
2022-09-30 13:54:00,28.378,28.397,28.375,28.384,1200
2022-09-30 13:53:00,28.368,28.407,28.361,28.384,1761
2022-09-30 13:52:00,28.383,28.393,28.361,28.37,1790
2022-09-30 13:51:00,28.397,28.407,28.38,28.404,13010
2022-09-30 13:50:00,28.381,28.407,28.375,28.404,1815
2022-09-30 13:49:00,28.378,28.397,28.375,28.394,1900
2022-09-30 13:48:00,28.368,28.388,28.356,28.384,1200
2022-09-30 13:47:00,28.368,28.378,28.346,28.374,3400
2022-09-30 13:46:00,28.348,28.378,28.336,28.374,3400
2022-09-30 13:45:00,28.368,28.378,28.346,28.355,1727
2022-09-30 13:44:00,28.378,28.388,28.356,28.365,700
2022-09-30 13:43:00,28.388,28.407,28.366,28.384,2321
2022-09-30 13:42:00,28.397,28.407,28.39,28.404,1472
2022-09-30 13:41:00,28.388,28.417,28.385,28.414,1308
2022-09-30 13:40:00,28.407,28.417,28.395,28.404,1700
2022-09-30 13:39:00,28.388,28.417,28.385,28.414,1000
2022-09-30 13:38:00,28.388,28.427,28.385,28.404,2279
2022-09-30 13:37:00,28.417,28.427,28.415,28.423,700
2022-09-30 13:36:00,28.437,28.446,28.405,28.414,900
2022-09-30 13:35:00,28.466,28.476,28.444,28.453,2312
2022-09-30 13:34:00,28.489,28.499,28.464,28.482,1454
2022-09-30 13:33:00,28.486,28.496,28.454,28.482,5435
2022-09-30 13:32:00,28.496,28.505,28.483,28.492,17692
2022-09-30 13:31:00,28.486,28.515,28.483,28.512,1089
2022-09-30 13:30:00,28.486,28.515,28.478,28.502,2837
2022-09-30 13:29:00,28.476,28.505,28.473,28.502,8010
2022-09-30 13:28:00,28.486,28.496,28.464,28.473,1777
