,1. open,2. high,3. low,4. close,5. volume
2023-09-29 15:59:00,90.429,90.522,90.415,90.509,63733
2023-09-29 15:58:00,90.488,90.522,90.405,90.409,35425
2023-09-29 15:57:00,90.438,90.512,90.425,90.479,35693
2023-09-29 15:56:00,90.448,90.472,90.356,90.439,30101
2023-09-29 15:55:00,90.538,90.552,90.385,90.449,46938
2023-09-29 15:54:00,90.558,90.582,90.474,90.538,21882
2023-09-29 15:53:00,90.707,90.711,90.524,90.568,20296
2023-09-29 15:52:00,90.558,90.741,90.554,90.727,23384
2023-09-29 15:51:00,90.528,90.567,90.474,90.518,17054
2023-09-29 15:50:00,90.438,90.597,90.43,90.528,11934
2023-09-29 15:49:00,90.419,90.433,90.375,90.429,6753
2023-09-29 15:48:00,90.448,90.472,90.385,90.434,6140
2023-09-29 15:47:00,90.448,90.487,90.425,90.459,5053
2023-09-29 15:46:00,90.329,90.423,90.305,90.419,5332
2023-09-29 15:45:00,90.289,90.323,90.269,90.3,3856
2023-09-29 15:44:00,90.309,90.328,90.246,90.275,3904
2023-09-29 15:43:00,90.23,90.304,90.226,90.29,8094
2023-09-29 15:42:00,90.22,90.274,90.216,90.233,3134
2023-09-29 15:41:00,90.379,90.383,90.257,90.261,3493
2023-09-29 15:40:00,90.349,90.393,90.328,90.389,5629
2023-09-29 15:39:00,90.309,90.373,90.275,90.364,6073
2023-09-29 15:38:00,90.374,90.378,90.315,90.32,1663
2023-09-29 15:37:00,90.319,90.378,90.315,90.374,1327
2023-09-29 15:36:00,90.339,90.363,90.315,90.335,5924
2023-09-29 15:35:00,90.369,90.373,90.305,90.32,3207
2023-09-29 15:34:00,90.389,90.413,90.365,90.409,1093
2023-09-29 15:33:00,90.409,90.413,90.375,90.379,1965
2023-09-29 15:32:00,90.478,90.482,90.405,90.419,1981
2023-09-29 15:31:00,90.518,90.525,90.474,90.479,3138
2023-09-29 15:30:00,90.612,90.632,90.544,90.548,4484
2023-09-29 15:29:00,90.607,90.627,90.584,90.613,1540
2023-09-29 15:28:00,90.558,90.612,90.554,90.608,2262
2023-09-29 15:27:00,90.533,90.542,90.509,90.538,3088
2023-09-29 15:26:00,90.627,90.636,90.514,90.543,7129
2023-09-29 15:25:00,90.632,90.641,90.593,90.638,3075
2023-09-29 15:24:00,90.652,90.681,90.613,90.621,1694
2023-09-29 15:23:00,90.617,90.671,90.613,90.648,4895
2023-09-29 15:22:00,90.593,90.612,90.574,90.608,1945
2023-09-29 15:21:00,90.617,90.632,90.584,90.588,2012
2023-09-29 15:20:00,90.588,90.651,90.584,90.648,2497
2023-09-29 15:19:00,90.657,90.671,90.584,90.588,1477
2023-09-29 15:18:00,90.697,90.701,90.633,90.677,3642
2023-09-29 15:17:00,90.727,90.731,90.683,90.697,1069
2023-09-29 15:16:00,90.846,90.85,90.762,90.777,2331
2023-09-29 15:15:00,90.806,90.83,90.792,90.827,1249
2023-09-29 15:14:00,90.846,90.9,90.807,90.817,5623
2023-09-29 15:13:00,90.826,90.88,90.792,90.846,4075
2023-09-29 15:12:00,90.766,90.8,90.762,90.797,1759
2023-09-29 15:11:00,90.707,90.751,90.703,90.747,2064
2023-09-29 15:10:00,90.667,90.721,90.663,90.707,3503
2023-09-29 15:09:00,90.756,90.791,90.693,90.727,3875
2023-09-29 15:08:00,90.707,90.781,90.703,90.757,2098
2023-09-29 15:07:00,90.722,90.726,90.683,90.687,782
