,1. open,2. high,3. low,4. close,5. volume
2023-10-31 15:59:00,119.65,119.668,119.586,119.602,53816
2023-10-31 15:58:00,119.626,119.668,119.621,119.652,31343
2023-10-31 15:57:00,119.7,119.727,119.567,119.627,28275
2023-10-31 15:56:00,119.68,119.737,119.636,119.701,46808
2023-10-31 15:55:00,119.433,119.683,119.398,119.677,28886
2023-10-31 15:54:00,119.393,119.44,119.329,119.434,25860
2023-10-31 15:53:00,119.492,119.5,119.388,119.404,17117
2023-10-31 15:52:00,119.472,119.529,119.458,119.493,20846
2023-10-31 15:51:00,119.561,119.599,119.468,119.488,19612
2023-10-31 15:50:00,119.69,119.747,119.557,119.563,21180
2023-10-31 15:49:00,119.641,119.737,119.596,119.731,18744
2023-10-31 15:48:00,119.631,119.688,119.616,119.642,10888
2023-10-31 15:47:00,119.631,119.658,119.577,119.642,8019
2023-10-31 15:46:00,119.631,119.688,119.606,119.642,12372
2023-10-31 15:45:00,119.685,119.708,119.626,119.642,8581
2023-10-31 15:44:00,119.596,119.698,119.562,119.691,8636
2023-10-31 15:43:00,119.675,119.683,119.557,119.582,10102
2023-10-31 15:42:00,119.68,119.737,119.666,119.672,7862
2023-10-31 15:41:00,119.759,119.782,119.685,119.691,16088
2023-10-31 15:40:00,119.695,119.787,119.69,119.781,8013
2023-10-31 15:39:00,119.71,119.727,119.685,119.711,3056
2023-10-31 15:38:00,119.636,119.727,119.631,119.721,6193
2023-10-31 15:37:00,119.749,119.757,119.656,119.672,4861
2023-10-31 15:36:00,119.759,119.787,119.735,119.771,3793
2023-10-31 15:35:00,119.779,119.807,119.755,119.785,5831
2023-10-31 15:34:00,119.779,119.817,119.76,119.8,4551
2023-10-31 15:33:00,119.769,119.812,119.765,119.781,4128
2023-10-31 15:32:00,119.749,119.787,119.715,119.781,5163
2023-10-31 15:31:00,119.759,119.807,119.745,119.771,2802
2023-10-31 15:30:00,119.898,119.906,119.765,119.776,7215
2023-10-31 15:29:00,119.928,119.935,119.874,119.909,4310
2023-10-31 15:28:00,119.908,119.95,119.893,119.934,5195
2023-10-31 15:27:00,119.957,119.965,119.893,119.899,6575
2023-10-31 15:26:00,119.873,119.965,119.869,119.959,4342
2023-10-31 15:25:00,119.898,119.906,119.864,119.875,20858
2023-10-31 15:24:00,119.809,119.896,119.804,119.889,3267
2023-10-31 15:23:00,119.903,119.925,119.814,119.82,6292
2023-10-31 15:22:00,119.898,119.925,119.864,119.909,6662
2023-10-31 15:21:00,119.918,119.935,119.884,119.904,3626
2023-10-31 15:20:00,119.967,119.975,119.857,119.899,7219
2023-10-31 15:19:00,120.017,120.025,119.973,119.998,1774
2023-10-31 15:18:00,119.997,120.005,119.943,119.988,9096
2023-10-31 15:17:00,119.987,120.025,119.963,119.998,6730
2023-10-31 15:16:00,119.987,120.005,119.963,119.969,3948
2023-10-31 15:15:00,119.967,119.995,119.953,119.974,2698
2023-10-31 15:14:00,120.037,120.054,119.992,120.003,3197
2023-10-31 15:13:00,120.047,120.054,120.012,120.018,3017
2023-10-31 15:12:00,120.066,120.084,120.032,120.058,7105
2023-10-31 15:11:00,120.037,120.104,120.032,120.048,6164
2023-10-31 15:10:00,119.987,120.054,119.983,120.038,4846
2023-10-31 15:09:00,119.977,120.025,119.973,120.008,5084
2023-10-31 15:08:00,119.997,120.005,119.963,119.984,1676
2023-10-31 15:07:00,119.997,120.005,119.953,119.974,1684
2023-10-31 15:06:00,119.997,120.043,119.963,119.998,4955
2023-10-31 15:05:00,119.997,120.015,119.953,120.008,4779
2023-10-31 15:04:00,119.997,120.025,119.983,119.998,3550
2023-10-31 15:03:00,120.002,120.01,119.923,119.979,8197
2023-10-31 15:02:00,120.002,120.025,119.983,119.988,4850
2023-10-31 15:01:00,120.007,120.034,119.992,120.003,3398
2023-10-31 15:00:00,119.957,120.02,119.953,120.008,3694
2023-10-31 14:59:00,119.982,120.005,119.955,119.964,2672
2023-10-31 14:58:00,119.908,119.995,119.903,119.988,5810
2023-10-31 14:57:00,119.908,119.925,119.895,119.909,2377
2023-10-31 14:56:00,119.903,119.925,119.893,119.919,1706
2023-10-31 14:55:00,119.898,119.916,119.874,119.904,4218
2023-10-31 14:54:00,119.888,119.906,119.814,119.88,6380
2023-10-31 14:53:00,119.898,119.916,119.874,119.889,1677
2023-10-31 14:52:00,119.908,119.925,119.879,119.899,2694
2023-10-31 14:51:00,119.898,119.906,119.874,119.897,2865
