,1. open,2. high,3. low,4. close,5. volume
2022-11-30 15:59:00,118.71,119.005,118.696,118.957,26751
2022-11-30 15:58:00,118.73,118.792,118.686,118.719,14182
2022-11-30 15:57:00,118.666,118.772,118.662,118.739,10299
2022-11-30 15:56:00,118.829,118.846,118.657,118.674,10278
2022-11-30 15:55:00,118.938,118.975,118.726,118.838,10891
2022-11-30 15:54:00,118.829,119.005,118.825,118.976,8208
2022-11-30 15:53:00,118.849,118.94,118.835,118.858,6168
2022-11-30 15:52:00,118.829,118.861,118.756,118.843,6306
2022-11-30 15:51:00,118.765,118.886,118.756,118.838,8185
2022-11-30 15:50:00,118.725,118.926,118.696,118.768,18595
2022-11-30 15:49:00,118.893,118.911,118.706,118.724,9524
2022-11-30 15:48:00,118.789,118.955,118.786,118.887,19850
2022-11-30 15:47:00,118.77,118.807,118.716,118.788,2503
2022-11-30 15:46:00,118.621,118.787,118.607,118.778,3552
2022-11-30 15:45:00,118.547,118.648,118.513,118.64,4345
2022-11-30 15:44:00,118.581,118.599,118.528,118.556,2653
2022-11-30 15:43:00,118.632,118.649,118.558,118.61,3810
2022-11-30 15:42:00,118.611,118.668,118.607,118.63,3974
2022-11-30 15:41:00,118.641,118.658,118.607,118.64,500
2022-11-30 15:40:00,118.641,118.663,118.617,118.65,3874
2022-11-30 15:39:00,118.611,118.698,118.587,118.65,6849
2022-11-30 15:38:00,118.686,118.717,118.583,118.62,6678
2022-11-30 15:37:00,118.829,118.856,118.678,118.69,12102
2022-11-30 15:36:00,118.799,118.856,118.781,118.833,3493
2022-11-30 15:35:00,118.76,118.826,118.756,118.818,1100
2022-11-30 15:34:00,118.656,118.757,118.652,118.749,1305
2022-11-30 15:33:00,118.631,118.688,118.617,118.679,800
2022-11-30 15:32:00,118.581,118.668,118.578,118.64,500
2022-11-30 15:31:00,118.621,118.658,118.548,118.59,2400
2022-11-30 15:30:00,118.611,118.628,118.587,118.61,2484
2022-11-30 15:29:00,118.581,118.604,118.578,118.595,300
2022-11-30 15:28:00,118.651,118.698,118.578,118.59,1622
2022-11-30 15:27:00,118.641,118.673,118.607,118.64,1300
2022-11-30 15:26:00,118.572,118.698,118.568,118.689,2200
2022-11-30 15:25:00,118.581,118.609,118.558,118.57,764
2022-11-30 15:24:00,118.581,118.599,118.528,118.57,828
2022-11-30 15:23:00,118.586,118.604,118.548,118.56,500
2022-11-30 15:22:00,118.522,118.599,118.518,118.59,2433
2022-11-30 15:21:00,118.512,118.579,118.498,118.531,4128
2022-11-30 15:20:00,118.492,118.524,118.488,118.516,200
2022-11-30 15:19:00,118.482,118.539,118.469,118.511,3155
2022-11-30 15:18:00,118.547,118.564,118.409,118.461,1401
2022-11-30 15:17:00,118.482,118.539,118.469,118.521,8937
2022-11-30 15:16:00,118.453,118.529,118.439,118.491,3825
2022-11-30 15:15:00,118.463,118.48,118.429,118.466,641
2022-11-30 15:14:00,118.472,118.49,118.424,118.437,400
2022-11-30 15:13:00,118.502,118.569,118.488,118.501,1335
2022-11-30 15:12:00,118.453,118.495,118.429,118.442,300
2022-11-30 15:11:00,118.428,118.47,118.419,118.461,1752
2022-11-30 15:10:00,118.388,118.43,118.379,118.412,916
2022-11-30 15:09:00,118.413,118.46,118.384,118.397,3984
2022-11-30 15:08:00,118.364,118.42,118.36,118.412,892
2022-11-30 15:07:00,118.364,118.401,118.33,118.367,2002
